"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_123.cpm","sc_127.cpm","sc_122.frq","sc_126.frq","sc_123.frq","sc_127.frq","WT.frq","gtl1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"3445","AT3G25882","Elongation_Trichoblast",10.8,8.08,7.16,4.25,0.109,0.113,0.0723,0.0408,0.111,0.0604,-0.72,2.99,8.58,0.0034,0.0452,1,"gtl1-WT","NIMIN-2",NA,NA,"Down","Elongation_Trichoblast_Down"
"3446","AT3G25930","Elongation_Trichoblast",43.8,47.4,91.4,77.2,0.333,0.356,0.484,0.429,0.344,0.463,0.885,6.04,45.1,1.93e-11,1.74e-09,1.02e-05,"gtl1-WT","AT3G25930",NA,NA,"Up","Elongation_Trichoblast_Up"
"3447","AT3G26470","Elongation_Trichoblast",6.12,3.12,13.5,14.9,0.062,0.0512,0.119,0.114,0.0567,0.117,1.63,3.28,45.9,1.29e-11,1.22e-09,6.78e-06,"gtl1-WT","AT3G26470",NA,NA,"Up","Elongation_Trichoblast_Up"
"3448","AT3G26700","Elongation_Trichoblast",49.9,76,37.5,40,0.452,0.596,0.279,0.277,0.522,0.278,-0.666,5.68,22.9,1.75e-06,6.79e-05,0.916,"gtl1-WT","AT3G26700",NA,NA,"Down","Elongation_Trichoblast_Down"
"3449","AT3G27880","Elongation_Trichoblast",42.3,40.8,68.1,64.4,0.279,0.302,0.372,0.339,0.29,0.359,0.672,5.76,24.1,9.07e-07,3.83e-05,0.475,"gtl1-WT","AT3G27880",NA,NA,"Up","Elongation_Trichoblast_Up"
"3450","AT3G28345","Elongation_Trichoblast",97.8,151,53.9,64.2,0.545,0.685,0.319,0.311,0.613,0.316,-1.04,6.52,74.5,6.65e-18,1.39e-15,3.5e-12,"gtl1-WT","ABCB15",NA,NA,"Down","Elongation_Trichoblast_Down"
"3451","AT3G29035","Elongation_Trichoblast",79.8,133,54.1,71.7,0.457,0.558,0.354,0.365,0.507,0.358,-0.729,6.41,35.4,2.69e-09,1.74e-07,0.00141,"gtl1-WT","NAC59","NAC3","NAC domain containing protein 3","Down","Elongation_Trichoblast_Down"
"3452","AT3G30775","Elongation_Trichoblast",96,123,170,188,0.486,0.52,0.625,0.616,0.503,0.621,0.718,7.17,44.8,2.2e-11,1.97e-09,1.16e-05,"gtl1-WT","POX1",NA,NA,"Up","Elongation_Trichoblast_Up"
"3453","AT3G41768","Elongation_Trichoblast",71.9,84.6,125,145,0.574,0.749,0.699,0.687,0.66,0.695,0.785,6.74,46.3,1.05e-11,1.02e-09,5.51e-06,"gtl1-WT","AT3G41768",NA,NA,"Up","Elongation_Trichoblast_Up"
"3454","AT3G43110","Elongation_Trichoblast",13.3,11.8,4.15,4.89,0.119,0.14,0.0387,0.0451,0.129,0.0411,-1.5,3.11,37.4,9.95e-10,7.03e-08,0.000523,"gtl1-WT","AT3G43110",NA,NA,"Down","Elongation_Trichoblast_Down"
"3455","AT3G44300","Elongation_Trichoblast",20.2,16,31.3,32.1,0.191,0.175,0.266,0.245,0.183,0.258,0.809,4.65,22.9,1.75e-06,6.79e-05,0.915,"gtl1-WT","NIT2",NA,NA,"Up","Elongation_Trichoblast_Up"
"3456","AT3G44326","Elongation_Trichoblast",51,84.4,28.2,34,0.357,0.477,0.23,0.225,0.416,0.228,-1.08,5.64,57.7,3.16e-14,4.03e-12,1.66e-08,"gtl1-WT","AT3G44326",NA,NA,"Down","Elongation_Trichoblast_Down"
"3457","AT3G45070","Elongation_Trichoblast",16.2,11.1,24.1,23.4,0.147,0.124,0.165,0.176,0.136,0.169,0.807,4.25,18.9,1.35e-05,0.000423,1,"gtl1-WT","AT3G45070",NA,NA,"Up","Elongation_Trichoblast_Up"
"3458","AT3G46280","Elongation_Trichoblast",100,93,145,185,0.612,0.606,0.595,0.642,0.609,0.612,0.759,7.03,47.7,5.17e-12,5.25e-10,2.72e-06,"gtl1-WT","AT3G46280",NA,NA,"Up","Elongation_Trichoblast_Up"
"3459","AT3G46600","Elongation_Trichoblast",11.5,9.64,20.9,19.8,0.14,0.146,0.191,0.152,0.142,0.176,0.941,3.99,22.9,1.68e-06,6.59e-05,0.879,"gtl1-WT","SCL30","AT3G46600","GRAS family transcription factor","Up","Elongation_Trichoblast_Up"
"3460","AT3G46720","Elongation_Trichoblast",3.06,4.11,14.7,12.8,0.0388,0.062,0.135,0.107,0.0501,0.125,1.93,3.21,58.4,2.23e-14,2.9e-12,1.17e-08,"gtl1-WT","UGT76E5",NA,NA,"Up","Elongation_Trichoblast_Up"
"3461","AT3G46845","Elongation_Trichoblast",16.6,15.6,23.9,24.5,0.202,0.216,0.222,0.187,0.208,0.209,0.586,4.35,10.6,0.0011,0.0179,1,"gtl1-WT","AT3G46845",NA,NA,"Up","Elongation_Trichoblast_Up"
"3462","AT3G47340","Elongation_Trichoblast",137,215,249,403,0.486,0.504,0.566,0.577,0.495,0.571,0.885,7.97,86.4,1.65e-20,4.27e-18,8.71e-15,"gtl1-WT","ASN1",NA,NA,"Up","Elongation_Trichoblast_Up"
"3463","AT3G47420","Elongation_Trichoblast",9.37,20,3.22,6.38,0.111,0.167,0.0335,0.0429,0.139,0.0371,-1.59,3.31,44.1,3.17e-11,2.79e-09,1.67e-05,"gtl1-WT","ATPS3",NA,NA,"Down","Elongation_Trichoblast_Down"
"3464","AT3G47770","Elongation_Trichoblast",7.93,15.3,17.2,18.5,0.0879,0.191,0.157,0.152,0.139,0.156,0.666,3.92,11.3,0.00077,0.0132,1,"gtl1-WT","ABCA6",NA,NA,"Up","Elongation_Trichoblast_Up"
"3465","AT3G47780","Elongation_Trichoblast",95.3,114,171,221,0.664,0.717,0.677,0.732,0.69,0.698,0.899,7.23,71.2,3.41e-17,6.69e-15,1.79e-11,"gtl1-WT","ABCA7",NA,NA,"Up","Elongation_Trichoblast_Up"
"3466","AT3G48940","Elongation_Trichoblast",29,32.3,10.8,11.7,0.258,0.302,0.0903,0.0858,0.28,0.0886,-1.44,4.4,62.3,3.12e-15,4.55e-13,1.64e-09,"gtl1-WT","AT3G48940",NA,NA,"Down","Elongation_Trichoblast_Down"
"3467","AT3G49080","Elongation_Trichoblast",10.8,8.36,15.3,15.3,0.132,0.127,0.148,0.122,0.129,0.139,0.672,3.67,10.4,0.00124,0.0198,1,"gtl1-WT","RPS9M",NA,NA,"Up","Elongation_Trichoblast_Up"
"3468","AT3G49720","Elongation_Trichoblast",15.3,14.5,23.5,27.6,0.145,0.186,0.203,0.191,0.165,0.198,0.773,4.35,18.4,1.84e-05,0.00056,1,"gtl1-WT","CGR2",NA,NA,"Up","Elongation_Trichoblast_Up"
"3469","AT3G49780","Elongation_Trichoblast",288,130,319,314,0.605,0.563,0.698,0.665,0.584,0.686,0.694,8.04,53.1,3.25e-13,3.81e-11,1.71e-07,"gtl1-WT","PSK3",NA,NA,"Up","Elongation_Trichoblast_Up"
"3470","AT3G49790","Elongation_Trichoblast",9.19,12.8,18.3,20,0.119,0.156,0.163,0.144,0.137,0.156,0.813,3.95,17,3.72e-05,0.00103,1,"gtl1-WT","AT3G49790",NA,NA,"Up","Elongation_Trichoblast_Up"
"3471","AT3G50930","Elongation_Trichoblast",18.2,19,41.7,35.1,0.181,0.243,0.258,0.221,0.211,0.244,1.04,4.86,40.6,1.94e-10,1.52e-08,0.000102,"gtl1-WT","HSR4",NA,NA,"Up","Elongation_Trichoblast_Up"
"3472","AT3G52740","Elongation_Trichoblast",31,18,66.3,45.3,0.245,0.221,0.324,0.275,0.234,0.305,1.2,5.36,63.8,1.47e-15,2.26e-13,7.76e-10,"gtl1-WT","BIC1",NA,NA,"Up","Elongation_Trichoblast_Up"
"3473","AT3G53160","Elongation_Trichoblast",5.04,9.5,30.9,32.3,0.0594,0.127,0.243,0.215,0.0923,0.232,2.13,4.32,117,3.55e-27,1.61e-24,1.87e-21,"gtl1-WT","UGT73C7",NA,NA,"Up","Elongation_Trichoblast_Up"
"3474","AT3G53260","Elongation_Trichoblast",7.57,6.66,15.6,10.8,0.101,0.111,0.129,0.0966,0.106,0.117,0.886,3.43,15.6,7.96e-05,0.00201,1,"gtl1-WT","PAL2",NA,NA,"Up","Elongation_Trichoblast_Up"
"3475","AT3G53650","Elongation_Trichoblast",129,151,80.1,67.8,0.326,0.426,0.324,0.296,0.375,0.313,-0.911,6.75,61.8,4.01e-15,5.8e-13,2.11e-09,"gtl1-WT","AT3G53650",NA,NA,"Down","Elongation_Trichoblast_Down"
"3476","AT3G54366","Elongation_Trichoblast",14,10.3,8.93,6.59,0.145,0.154,0.0852,0.0558,0.149,0.0741,-0.651,3.36,8.48,0.00359,0.0473,1,"gtl1-WT","AT3G54366",NA,NA,"Down","Elongation_Trichoblast_Down"
"3477","AT3G54810","Elongation_Trichoblast",17.8,15.5,25.2,30.6,0.183,0.213,0.222,0.217,0.198,0.22,0.738,4.49,17.8,2.43e-05,0.000704,1,"gtl1-WT","GATA8","BME3","Plant-specific GATA-type zinc finger transcription factor family protein","Up","Elongation_Trichoblast_Up"
"3478","AT3G54950","Elongation_Trichoblast",23.1,28.4,12.6,10.2,0.227,0.248,0.112,0.073,0.237,0.0975,-1.14,4.24,37.1,1.12e-09,7.87e-08,0.000587,"gtl1-WT","PLP7",NA,NA,"Down","Elongation_Trichoblast_Down"
"3479","AT3G55230","Elongation_Trichoblast",18.7,4.11,37.4,22.3,0.0956,0.0674,0.116,0.0987,0.0818,0.11,1.52,4.42,65,7.95e-16,1.3e-13,4.19e-10,"gtl1-WT","DIR24",NA,NA,"Up","Elongation_Trichoblast_Up"
"3480","AT3G55450","Elongation_Trichoblast",7.39,6.52,11.5,10.6,0.0982,0.105,0.116,0.0944,0.102,0.108,0.67,3.23,8.38,0.0038,0.0492,1,"gtl1-WT","PBL1",NA,NA,"Up","Elongation_Trichoblast_Up"
"3481","AT3G56210","Elongation_Trichoblast",29.5,27.9,56.7,54.9,0.227,0.237,0.301,0.273,0.232,0.29,0.957,5.42,42.6,6.98e-11,5.82e-09,3.67e-05,"gtl1-WT","AT3G56210",NA,NA,"Up","Elongation_Trichoblast_Up"
"3482","AT3G57010","Elongation_Trichoblast",56.4,78,33.7,34.7,0.382,0.493,0.237,0.193,0.437,0.221,-0.948,5.67,45.8,1.35e-11,1.27e-09,7.09e-06,"gtl1-WT","SSL8",NA,NA,"Down","Elongation_Trichoblast_Down"
"3483","AT3G57400","Elongation_Trichoblast",30.4,39.7,22.2,24,0.279,0.375,0.203,0.189,0.326,0.197,-0.585,4.88,13.3,0.000269,0.00554,1,"gtl1-WT","AT3G57400",NA,NA,"Down","Elongation_Trichoblast_Down"
"3484","AT3G57520","Elongation_Trichoblast",45.6,37.3,93.4,113,0.333,0.315,0.409,0.376,0.325,0.396,1.31,6.18,102,5.63e-24,1.98e-21,2.97e-18,"gtl1-WT","RFS2",NA,NA,"Up","Elongation_Trichoblast_Up"
"3485","AT3G58120","Elongation_Trichoblast",19.3,20.7,28.7,33.4,0.178,0.216,0.223,0.236,0.197,0.228,0.63,4.68,14.2,0.000161,0.00362,1,"gtl1-WT","BZIP61","BZIP61","Basic-leucine zipper (bZIP) transcription factor family protein","Up","Elongation_Trichoblast_Up"
"3486","AT3G59340","Elongation_Trichoblast",21.1,30.1,13.9,13.6,0.222,0.302,0.13,0.109,0.261,0.122,-0.857,4.32,22.1,2.61e-06,9.75e-05,1,"gtl1-WT","AT3G59340",NA,NA,"Down","Elongation_Trichoblast_Down"
"3487","AT3G59370","Elongation_Trichoblast",40.5,10.2,106,89.7,0.145,0.156,0.228,0.221,0.15,0.226,2.12,5.96,220,1.49e-49,4.33e-46,7.83e-44,"gtl1-WT","AT3G59370",NA,NA,"Up","Elongation_Trichoblast_Up"
"3488","AT3G59480","Elongation_Trichoblast",3.42,3.4,24.2,23.4,0.031,0.0323,0.123,0.15,0.0317,0.133,2.79,3.82,143,8.5e-33,5.78e-30,4.48e-27,"gtl1-WT","AT3G59480",NA,NA,"Up","Elongation_Trichoblast_Up"
"3489","AT3G59710","Elongation_Trichoblast",57.6,56.1,27.6,47.2,0.388,0.358,0.221,0.223,0.373,0.222,-0.657,5.55,21.5,3.63e-06,0.000132,1,"gtl1-WT","AT3G59710",NA,NA,"Down","Elongation_Trichoblast_Down"
"3490","AT3G59930","Elongation_Trichoblast",169,246,84.6,83.6,0.455,0.518,0.277,0.212,0.485,0.253,-1.27,7.19,137,1.29e-31,7.99e-29,6.81e-26,"gtl1-WT","AT3G59930",NA,NA,"Down","Elongation_Trichoblast_Down"
"3491","AT3G59940","Elongation_Trichoblast",6.3,13.9,5.09,4.25,0.0698,0.146,0.0555,0.0386,0.107,0.0492,-0.979,2.96,15,0.000106,0.00257,1,"gtl1-WT","SKIP20",NA,NA,"Down","Elongation_Trichoblast_Down"
"3492","AT3G61640","Elongation_Trichoblast",104,62.1,161,116,0.473,0.45,0.591,0.461,0.462,0.542,0.758,6.8,43.8,3.64e-11,3.17e-09,1.92e-05,"gtl1-WT","AGP20",NA,NA,"Up","Elongation_Trichoblast_Up"
"3493","AT3G61930","Elongation_Trichoblast",5.22,3.4,15.6,11.5,0.0594,0.062,0.114,0.0901,0.0607,0.105,1.65,3.26,45.2,1.8e-11,1.63e-09,9.47e-06,"gtl1-WT","AT3G61930",NA,NA,"Up","Elongation_Trichoblast_Up"
"3494","AT3G61990","Elongation_Trichoblast",16,15.9,8.62,11.7,0.163,0.232,0.0903,0.0901,0.197,0.0902,-0.677,3.71,10.9,0.000944,0.0156,1,"gtl1-WT","OMTF3",NA,NA,"Down","Elongation_Trichoblast_Down"
"3495","AT3G62270","Elongation_Trichoblast",31.5,29.3,49.1,46.8,0.313,0.31,0.351,0.288,0.311,0.327,0.656,5.31,19.6,9.84e-06,0.000319,1,"gtl1-WT","BOR2",NA,NA,"Up","Elongation_Trichoblast_Up"
"3496","AT3G63070","Elongation_Trichoblast",11,16.4,7.06,10,0.124,0.21,0.0761,0.0837,0.166,0.079,-0.677,3.5,9.8,0.00175,0.0263,1,"gtl1-WT","HULK3",NA,NA,"Down","Elongation_Trichoblast_Down"
"3497","AT2G01680","Elongation_Trichoblast",11.5,14.9,7.48,9.14,0.134,0.213,0.0813,0.0837,0.173,0.0822,-0.662,3.45,9.21,0.00241,0.0342,1,"gtl1-WT","AT2G01680",NA,NA,"Down","Elongation_Trichoblast_Down"
"3498","AT2G01880","Elongation_Trichoblast",107,141,64.9,73.2,0.615,0.709,0.39,0.384,0.661,0.388,-0.834,6.6,49.6,1.99e-12,2.11e-10,1.05e-06,"gtl1-WT","PAP7",NA,NA,"Down","Elongation_Trichoblast_Down"
"3499","AT2G01910","Elongation_Trichoblast",15.3,12.2,9.45,4.68,0.155,0.162,0.0968,0.0408,0.158,0.0757,-0.955,3.44,18.4,1.76e-05,0.000538,1,"gtl1-WT","MAP65-6",NA,NA,"Down","Elongation_Trichoblast_Down"
"3500","AT2G02130","Elongation_Trichoblast",138,27.2,254,90,0.202,0.116,0.237,0.144,0.16,0.202,1.24,7.01,117,4.03e-27,1.79e-24,2.12e-21,"gtl1-WT","PDF2.3",NA,NA,"Up","Elongation_Trichoblast_Up"
"3501","AT2G02300","Elongation_Trichoblast",10.3,16.9,6.23,7.44,0.114,0.197,0.0503,0.0644,0.154,0.0556,-0.945,3.39,17.6,2.67e-05,0.000765,1,"gtl1-WT","PP2B5",NA,NA,"Down","Elongation_Trichoblast_Down"
"3502","AT2G02710","Elongation_Trichoblast",78.2,143,63.6,65.7,0.406,0.507,0.284,0.303,0.455,0.291,-0.71,6.46,33.9,5.97e-09,3.66e-07,0.00314,"gtl1-WT","TLP1",NA,NA,"Down","Elongation_Trichoblast_Down"
"3503","AT2G04780","Elongation_Trichoblast",90.4,74.3,163,162,0.491,0.485,0.581,0.545,0.488,0.567,0.985,6.94,77.2,1.68e-18,3.69e-16,8.85e-13,"gtl1-WT","FLA7",NA,NA,"Up","Elongation_Trichoblast_Up"
"3504","AT2G05790","Elongation_Trichoblast",11.2,10.2,21,18.3,0.127,0.124,0.183,0.139,0.125,0.167,0.876,3.97,19.8,8.83e-06,0.00029,1,"gtl1-WT","AT2G05790",NA,NA,"Up","Elongation_Trichoblast_Up"
"3505","AT2G05920","Elongation_Trichoblast",20.5,40.5,19.6,18.3,0.217,0.326,0.177,0.131,0.27,0.16,-0.601,4.66,12.5,0.000401,0.00768,1,"gtl1-WT","SBT1.8",NA,NA,"Down","Elongation_Trichoblast_Down"
"3506","AT2G07671","Elongation_Trichoblast",108,174,178,246,0.705,0.863,0.778,0.818,0.782,0.793,0.609,7.46,35.5,2.6e-09,1.7e-07,0.00137,"gtl1-WT","AT2G07671",NA,NA,"Up","Elongation_Trichoblast_Up"
"3507","AT2G09990","Elongation_Trichoblast",19.8,12.8,27.9,23.2,0.171,0.137,0.194,0.189,0.154,0.192,0.661,4.42,13.8,0.000207,0.00444,1,"gtl1-WT","RPS16A",NA,NA,"Up","Elongation_Trichoblast_Up"
"3508","AT2G15390","Elongation_Trichoblast",18.7,30.3,37.1,48.9,0.199,0.337,0.276,0.303,0.266,0.286,0.829,5.08,28.3,1.05e-07,5.23e-06,0.055,"gtl1-WT","FUT4",NA,NA,"Up","Elongation_Trichoblast_Up"
"3509","AT2G16060","Elongation_Trichoblast",3.6,5.81,13.4,20,0.0362,0.0647,0.103,0.109,0.0501,0.106,1.83,3.44,60.8,6.73e-15,9.48e-13,3.54e-09,"gtl1-WT","AHB1",NA,NA,"Up","Elongation_Trichoblast_Up"
"3510","AT2G16430","Elongation_Trichoblast",15.7,26.8,9.24,16.4,0.189,0.326,0.0955,0.135,0.256,0.11,-0.734,4.1,14.8,0.000121,0.00287,1,"gtl1-WT","PAP10",NA,NA,"Down","Elongation_Trichoblast_Down"
"3511","AT2G17070","Elongation_Trichoblast",5.04,4.25,15.5,11.1,0.0646,0.062,0.115,0.0923,0.0633,0.106,1.5,3.26,38.5,5.69e-10,4.16e-08,0.000299,"gtl1-WT","AT2G17070",NA,NA,"Up","Elongation_Trichoblast_Up"
"3512","AT2G17080","Elongation_Trichoblast",9.91,7.37,29.6,26.2,0.127,0.119,0.231,0.176,0.123,0.21,1.69,4.23,75.4,4.09e-18,8.61e-16,2.15e-12,"gtl1-WT","AT2G17080",NA,NA,"Up","Elongation_Trichoblast_Up"
"3513","AT2G17450","Elongation_Trichoblast",509,681,373,411,0.832,0.873,0.795,0.764,0.852,0.783,-0.589,8.95,50.1,1.5e-12,1.64e-10,7.88e-07,"gtl1-WT","ATL44",NA,NA,"Down","Elongation_Trichoblast_Down"
"3514","AT2G17660","Elongation_Trichoblast",31.7,48.2,27.5,24,0.152,0.178,0.105,0.101,0.165,0.103,-0.59,5.06,14.3,0.000154,0.00347,1,"gtl1-WT","AT2G17660",NA,NA,"Down","Elongation_Trichoblast_Down"
"3515","AT2G18670","Elongation_Trichoblast",15.5,20.7,9.14,5.32,0.155,0.235,0.0877,0.0472,0.194,0.0725,-1.26,3.71,35.6,2.45e-09,1.61e-07,0.00129,"gtl1-WT","ATL56","AT2G18670","RING/U-box superfamily protein","Down","Elongation_Trichoblast_Down"
"3516","AT2G18980","Elongation_Trichoblast",320,303,479,570,0.749,0.69,0.738,0.758,0.72,0.745,0.747,8.71,75.4,4.03e-18,8.57e-16,2.12e-12,"gtl1-WT","PER16",NA,NA,"Up","Elongation_Trichoblast_Up"
"3517","AT2G19060","Elongation_Trichoblast",78,104,55.5,60.4,0.483,0.571,0.337,0.356,0.526,0.344,-0.639,6.23,25.7,4.13e-07,1.84e-05,0.216,"gtl1-WT","AT2G19060",NA,NA,"Down","Elongation_Trichoblast_Down"
"3518","AT2G19770","Elongation_Trichoblast",11.5,8.93,4.15,2.98,0.129,0.116,0.0271,0.0236,0.123,0.0258,-1.51,2.83,32.6,1.14e-08,6.66e-07,0.00596,"gtl1-WT","PRO4",NA,NA,"Down","Elongation_Trichoblast_Down"
"3519","AT2G19800","Elongation_Trichoblast",62.7,70.3,125,158,0.465,0.458,0.532,0.554,0.462,0.54,1.08,6.7,85.4,2.61e-20,6.58e-18,1.38e-14,"gtl1-WT","MIOX2",NA,NA,"Up","Elongation_Trichoblast_Up"
"3520","AT2G20450","Elongation_Trichoblast",17.7,9.92,22.7,20.4,0.147,0.132,0.19,0.165,0.14,0.18,0.666,4.17,12.5,4e-04,0.00768,1,"gtl1-WT","RPL14A",NA,NA,"Up","Elongation_Trichoblast_Up"
"3521","AT2G20520","Elongation_Trichoblast",35.7,65.2,90,91.2,0.264,0.332,0.261,0.21,0.297,0.242,0.895,6.15,47.6,5.39e-12,5.42e-10,2.84e-06,"gtl1-WT","FLA6",NA,NA,"Up","Elongation_Trichoblast_Up"
"3522","AT2G21540","Elongation_Trichoblast",11.9,14.9,4.88,5.95,0.145,0.189,0.0581,0.0558,0.166,0.0572,-1.3,3.26,30.7,3e-08,1.65e-06,0.0158,"gtl1-WT","SFH3",NA,NA,"Down","Elongation_Trichoblast_Down"
"3523","AT2G21640","Elongation_Trichoblast",22.3,7.09,20.6,26.6,0.142,0.0728,0.121,0.131,0.108,0.125,0.748,4.25,16,6.22e-05,0.00162,1,"gtl1-WT","AT2G21640",NA,NA,"Up","Elongation_Trichoblast_Up"
"3524","AT2G21660","Elongation_Trichoblast",46.7,51.2,101,93.2,0.367,0.358,0.481,0.376,0.363,0.442,0.986,6.2,59.3,1.43e-14,1.94e-12,7.56e-09,"gtl1-WT","RBG7",NA,NA,"Up","Elongation_Trichoblast_Up"
"3525","AT2G22080","Elongation_Trichoblast",15,10.9,21.3,18.3,0.145,0.146,0.156,0.129,0.145,0.146,0.617,4.07,10.4,0.00127,0.0203,1,"gtl1-WT","AT2G22080",NA,NA,"Up","Elongation_Trichoblast_Up"
"3526","AT2G22121","Elongation_Trichoblast",8.65,11.3,14,21.3,0.0879,0.105,0.105,0.131,0.0963,0.114,0.807,3.8,15.8,7.05e-05,0.0018,1,"gtl1-WT","LCR35",NA,NA,"Up","Elongation_Trichoblast_Up"
"3527","AT2G22670","Elongation_Trichoblast",23.1,20.3,39.8,27.9,0.245,0.235,0.297,0.197,0.24,0.259,0.633,4.83,15,0.000108,0.0026,1,"gtl1-WT","IAA8","IAA8","indoleacetic acid-induced protein 8","Up","Elongation_Trichoblast_Up"
"3528","AT2G22760","Elongation_Trichoblast",37.6,57.1,25.2,34.9,0.279,0.367,0.181,0.191,0.322,0.185,-0.645,5.28,18.7,1.51e-05,0.000468,1,"gtl1-WT","BHLH19","AT2G22760","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","Down","Elongation_Trichoblast_Down"
"3529","AT2G22905","Elongation_Trichoblast",14.8,8.65,7.06,6.81,0.147,0.111,0.0697,0.0622,0.129,0.0669,-0.765,3.24,11,0.000907,0.0152,1,"gtl1-WT","AT2G22905",NA,NA,"Down","Elongation_Trichoblast_Down"
"3530","AT2G23340","Elongation_Trichoblast",316,371,180,168,0.749,0.779,0.564,0.605,0.764,0.579,-0.975,8.02,106,8.66e-25,3.16e-22,4.57e-19,"gtl1-WT","ERF008","DEAR3","DREB and EAR motif protein 3","Down","Elongation_Trichoblast_Down"
"3531","AT2G23790","Elongation_Trichoblast",14.2,24.4,27.5,33.8,0.163,0.291,0.223,0.227,0.226,0.225,0.697,4.66,17,3.72e-05,0.00103,1,"gtl1-WT","AT2G23790",NA,NA,"Up","Elongation_Trichoblast_Up"
"3532","AT2G24300","Elongation_Trichoblast",9.91,6.95,14.1,12.3,0.121,0.0997,0.146,0.105,0.111,0.131,0.653,3.49,8.98,0.00273,0.0379,1,"gtl1-WT","AT2G24300",NA,NA,"Up","Elongation_Trichoblast_Up"
"3533","AT2G24980","Elongation_Trichoblast",113,256,240,301,0.481,0.526,0.489,0.504,0.503,0.495,0.652,7.83,44.8,2.27e-11,2.01e-09,1.19e-05,"gtl1-WT","AT2G24980",NA,NA,"Up","Elongation_Trichoblast_Up"
"3534","AT2G25080","Elongation_Trichoblast",14.8,11.6,7.79,8.72,0.142,0.151,0.0787,0.0665,0.146,0.0741,-0.694,3.44,10.1,0.0015,0.0231,1,"gtl1-WT","GPX1",NA,NA,"Down","Elongation_Trichoblast_Down"
"3535","AT2G26370","Elongation_Trichoblast",7.39,5.25,12.1,11.5,0.0879,0.0889,0.119,0.0944,0.0884,0.11,0.904,3.24,15,0.000108,0.00261,1,"gtl1-WT","AT2G26370",NA,NA,"Up","Elongation_Trichoblast_Up"
"3536","AT2G26710","Elongation_Trichoblast",13.7,17.4,24.1,27,0.176,0.235,0.195,0.212,0.204,0.201,0.721,4.38,16.2,5.71e-05,0.0015,1,"gtl1-WT","CYP734A1",NA,NA,"Up","Elongation_Trichoblast_Up"
"3537","AT2G27010","Elongation_Trichoblast",10.4,19.1,8.72,9.57,0.119,0.218,0.0942,0.0837,0.168,0.0902,-0.63,3.62,8.9,0.00285,0.0391,1,"gtl1-WT","CYP705A9",NA,NA,"Down","Elongation_Trichoblast_Down"
"3538","AT2G27710","Elongation_Trichoblast",135,137,203,227,0.618,0.65,0.677,0.702,0.633,0.687,0.66,7.45,41.7,1.12e-10,9.04e-09,5.87e-05,"gtl1-WT","RPP2B",NA,NA,"Up","Elongation_Trichoblast_Up"
"3539","AT2G29050","Elongation_Trichoblast",19.8,18.7,11.9,9.57,0.222,0.24,0.12,0.0923,0.231,0.11,-0.834,3.94,18,2.27e-05,0.000665,1,"gtl1-WT","RBL1",NA,NA,"Down","Elongation_Trichoblast_Down"
"3540","AT2G29670","Elongation_Trichoblast",13.1,13.8,9.55,5.74,0.124,0.143,0.089,0.0558,0.133,0.0766,-0.793,3.46,13,0.000309,0.00623,1,"gtl1-WT","AT2G29670",NA,NA,"Down","Elongation_Trichoblast_Down"
"3541","AT2G29790","Elongation_Trichoblast",13.1,13.5,0,12.5,0.15,0.181,0,0.109,0.165,0.0411,-1.63,3.21,43.6,4.21e-11,3.59e-09,2.21e-05,"gtl1-WT","AT2G29790",NA,NA,"Down","Elongation_Trichoblast_Down"
"3542","AT2G29980","Elongation_Trichoblast",42.1,36.4,62.4,72.1,0.351,0.385,0.392,0.38,0.368,0.388,0.772,5.74,31.4,2.14e-08,1.2e-06,0.0112,"gtl1-WT","FAD3",NA,NA,"Up","Elongation_Trichoblast_Up"
"3543","AT2G29995","Elongation_Trichoblast",31.9,35.6,53.4,58.5,0.287,0.326,0.323,0.335,0.306,0.327,0.73,5.5,25.9,3.69e-07,1.66e-05,0.194,"gtl1-WT","PSY3",NA,NA,"Up","Elongation_Trichoblast_Up"
"3544","AT2G30500","Elongation_Trichoblast",52.4,50.8,77.9,82.3,0.411,0.456,0.418,0.431,0.433,0.423,0.633,6.05,23.6,1.19e-06,4.86e-05,0.624,"gtl1-WT","NET4B",NA,NA,"Up","Elongation_Trichoblast_Up"
"3545","AT2G30530","Elongation_Trichoblast",24.1,22.1,14,12.5,0.245,0.218,0.133,0.114,0.232,0.126,-0.798,4.21,18.4,1.79e-05,0.000545,1,"gtl1-WT","AT2G30530",NA,NA,"Down","Elongation_Trichoblast_Down"
"3546","AT2G31083","Elongation_Trichoblast",30.8,19.7,10.2,9.57,0.145,0.14,0.0452,0.0622,0.142,0.0516,-1.36,4.14,49.5,2e-12,2.11e-10,1.05e-06,"gtl1-WT","CLE5",NA,NA,"Down","Elongation_Trichoblast_Down"
"3547","AT2G31270","Elongation_Trichoblast",6.84,8.65,18.5,13.4,0.0853,0.108,0.152,0.118,0.0963,0.139,1.04,3.65,23.4,1.31e-06,5.27e-05,0.684,"gtl1-WT","CDT1A",NA,NA,"Up","Elongation_Trichoblast_Up"
