"","gene","cluster_id","sc_2.cpm","sc_43.cpm","sc_50.cpm","sc_5.cpm","sc_46.cpm","sc_49.cpm","sc_2.frq","sc_43.frq","sc_50.frq","sc_5.frq","sc_46.frq","sc_49.frq","BRZ.frq","BL.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"962","AT5G49900","all",24.3,21.4,20,16.5,9.78,14.7,0.109,0.113,0.129,0.0889,0.072,0.08,0.115,0.0814,-0.691,4.16,20,0.00194,0.0196,1,"BL-BRZ","AT5G49900",NA,NA,"Down","all_Down"
"963","AT5G49920","all",5.95,6.81,7.11,2.33,3.66,2.94,0.0611,0.066,0.0786,0.0221,0.0448,0.0348,0.0673,0.0323,-1.17,2.27,63.7,3.82e-05,0.0018,0.885,"BL-BRZ","AT5G49920",NA,NA,"Down","all_Down"
"964","AT5G50010","all",6.77,6.75,7.59,2.11,1.56,2.98,0.0451,0.0541,0.0633,0.0171,0.0216,0.0314,0.0531,0.0221,-1.67,2.22,54.4,6.77e-05,0.00255,1,"BL-BRZ","BHLH145","AT5G50010","transcription factor bHLH145","Down","all_Down"
"965","AT5G50120","all",1.48,1.88,1.57,5.09,4.25,4.9,0.012,0.0143,0.0151,0.0304,0.0314,0.0364,0.0137,0.0322,1.53,1.69,87.5,1.16e-05,0.000916,0.272,"BL-BRZ","AT5G50120",NA,NA,"Up","all_Up"
"966","AT5G50150","all",7.09,8.73,7.44,9.8,13.2,14.3,0.0552,0.0725,0.0692,0.0627,0.115,0.115,0.0657,0.0919,0.669,3.34,27.6,0.000705,0.0105,1,"BL-BRZ","AT5G50150",NA,NA,"Up","all_Up"
"967","AT5G50175","all",15.3,11.6,14.3,22.9,24.1,23.4,0.148,0.106,0.141,0.174,0.201,0.191,0.129,0.187,0.778,4.22,42.9,0.000159,0.00417,1,"BL-BRZ","AT5G50175",NA,NA,"Up","all_Up"
"968","AT5G50180","all",31.4,49.8,62.7,18.9,28.1,24.3,0.228,0.225,0.249,0.145,0.206,0.195,0.231,0.176,-0.982,5.17,55.3,6.4e-05,0.00248,1,"BL-BRZ","AT5G50180",NA,NA,"Down","all_Down"
"969","AT5G50300","all",4.84,4.55,4,7.66,8.15,10.8,0.0495,0.0436,0.0466,0.0681,0.0888,0.104,0.0464,0.0836,0.986,2.74,34.7,0.00033,0.00644,1,"BL-BRZ","AZG2",NA,NA,"Up","all_Up"
"970","AT5G50360","all",0.869,0.676,0.612,0.0491,0.101,0.0873,0.00799,0.00541,0.0057,0.000511,0.00117,0.00106,0.00638,0.000853,-3.15,-1.25,78.2,1.78e-05,0.00114,0.415,"BL-BRZ","AT5G50360",NA,NA,"Down","all_Down"
"971","AT5G50740","all",6.52,22,13.3,14.5,33.3,24.6,0.0538,0.107,0.0818,0.0892,0.157,0.117,0.0826,0.117,0.856,4.25,17.1,0.00308,0.0263,1,"BL-BRZ","AT5G50740",NA,NA,"Up","all_Up"
"972","AT5G50760","all",17.4,13.7,13.9,8.8,4.99,10.7,0.0548,0.0432,0.0491,0.0394,0.0254,0.0339,0.0487,0.0337,-0.872,3.53,12.9,0.00674,0.0443,1,"BL-BRZ","AT5G50760",NA,NA,"Down","all_Down"
"973","AT5G51160","all",4.36,3.52,3.75,2.92,1.64,1.79,0.0477,0.0362,0.0442,0.0268,0.0222,0.0239,0.0421,0.0246,-0.911,1.59,31.7,0.000445,0.00773,1,"BL-BRZ","AT5G51160",NA,NA,"Down","all_Down"
"974","AT5G51310","all",1.97,1.62,2.38,2.64,5.1,6.11,0.0228,0.0174,0.0318,0.0239,0.0451,0.053,0.0227,0.0378,1.14,1.73,20,0.00193,0.0196,1,"BL-BRZ","AT5G51310",NA,NA,"Up","all_Up"
"975","AT5G51451","all",2.29,2.25,3.73,1.21,1.82,1.9,0.0257,0.0237,0.0427,0.0121,0.0237,0.025,0.0289,0.0189,-0.758,1.15,12.8,0.00692,0.0451,1,"BL-BRZ","RGF5",NA,NA,"Down","all_Down"
"976","AT5G51490","all",7.42,12.4,7.99,22.9,18.6,18.5,0.0446,0.0711,0.0574,0.102,0.103,0.0901,0.0586,0.0995,1.11,3.87,29.4,0.000573,0.00911,1,"BL-BRZ","PME59",NA,NA,"Up","all_Up"
"977","AT5G51500","all",19.4,29.8,21.4,52.2,47.9,43.2,0.0712,0.0849,0.0609,0.159,0.139,0.119,0.0744,0.142,1.03,5.16,38.4,0.000232,0.00529,1,"BL-BRZ","PME60",NA,NA,"Up","all_Up"
"978","AT5G51520","all",39.4,38.3,64.1,84.4,112,111,0.226,0.167,0.242,0.282,0.25,0.243,0.206,0.262,1.11,6.22,40.1,2e-04,0.00484,1,"BL-BRZ","AT5G51520",NA,NA,"Up","all_Up"
"979","AT5G51810","all",2.64,5.24,3.58,1.85,2.26,2.39,0.0192,0.0177,0.0163,0.0136,0.0156,0.0117,0.0179,0.0137,-0.791,1.59,17.6,0.00286,0.0252,1,"BL-BRZ","GA20OX2",NA,NA,"Down","all_Down"
"980","AT5G51890","all",64.6,50,64.2,33.9,20.8,32.6,0.0149,0.0188,0.0212,0.0111,0.00935,0.0119,0.018,0.0108,-1.04,5.47,35.1,0.000317,0.00628,1,"BL-BRZ","PER66",NA,NA,"Down","all_Down"
"981","AT5G52260","all",0.721,0.898,1.09,0.226,0.432,0.644,0.00692,0.00597,0.0106,0.00215,0.00599,0.00692,0.0074,0.00453,-1.11,-0.547,16.2,0.00361,0.0293,1,"BL-BRZ","AtMYB19","MYB19","myb domain protein 19","Down","all_Down"
"982","AT5G52310","all",212,170,171,140,53.2,52.5,0.468,0.287,0.261,0.413,0.154,0.118,0.344,0.259,-1.33,7.05,41.3,0.000181,0.00454,1,"BL-BRZ","RD29A",NA,NA,"Down","all_Down"
"983","AT5G52400","all",26.2,27.1,27,19.6,12.9,20.1,0.115,0.1,0.11,0.0751,0.0631,0.0711,0.108,0.0704,-0.612,4.47,14.2,0.00523,0.0374,1,"BL-BRZ","CYP715A1",NA,NA,"Down","all_Down"
"984","AT5G52420","all",22,21.1,21.2,13.5,14.3,11.7,0.185,0.153,0.166,0.107,0.134,0.109,0.167,0.116,-0.698,4.11,41.3,0.00018,0.00453,1,"BL-BRZ","AT5G52420",NA,NA,"Down","all_Down"
"985","AT5G52790","all",3.46,5.95,10.7,2.09,3.26,2.89,0.0224,0.0224,0.0283,0.0161,0.0194,0.0183,0.0238,0.0177,-1.2,2.24,23.6,0.00116,0.014,1,"BL-BRZ","CBSDUF5",NA,NA,"Down","all_Down"
"986","AT5G52830","all",10.3,16.9,15.5,17.2,24.8,24.7,0.0973,0.118,0.118,0.127,0.161,0.173,0.111,0.149,0.652,4.19,45.7,0.000127,0.00365,1,"BL-BRZ","WRKY27","WRKY27","WRKY DNA-binding protein 27","Up","all_Up"
"987","AT5G52882","all",79,84,76,152,139,152,0.363,0.357,0.378,0.515,0.565,0.557,0.364,0.541,0.892,6.83,78.2,1.77e-05,0.00114,0.414,"BL-BRZ","AT5G52882",NA,NA,"Up","all_Up"
"988","AT5G52900","all",2.92,2.63,3.28,7.43,4.76,6.01,0.0238,0.022,0.0259,0.0459,0.0419,0.0486,0.0236,0.0453,1.03,2.18,34.6,0.000334,0.00652,1,"BL-BRZ","MAKR6",NA,NA,"Up","all_Up"
"989","AT5G52910","all",2.14,2.67,1.86,2.99,3.71,3.65,0.0225,0.0252,0.0216,0.0252,0.0422,0.0367,0.0234,0.0334,0.624,1.51,12.9,0.00679,0.0446,1,"BL-BRZ","ATIM",NA,NA,"Up","all_Up"
"990","AT5G53010","all",8.03,8.23,6.29,1.96,1.25,1.7,0.086,0.0731,0.0674,0.0187,0.0165,0.0218,0.0763,0.0188,-2.21,2.2,147,1.56e-06,0.000342,0.0369,"BL-BRZ","AT5G53010",NA,NA,"Down","all_Down"
"991","AT5G53220","all",4.92,5.66,5.65,3.32,3.09,3.33,0.0574,0.0628,0.0747,0.0311,0.0422,0.0472,0.0637,0.0386,-0.733,2.12,30.8,0.000494,0.00828,1,"BL-BRZ","AT5G53220",NA,NA,"Down","all_Down"
"992","AT5G53250","all",297,287,313,571,740,891,0.458,0.468,0.479,0.706,0.734,0.74,0.467,0.723,1.27,9.01,80.3,1.6e-05,0.00108,0.374,"BL-BRZ","AGP22",NA,NA,"Up","all_Up"
"993","AT5G53730","all",0.968,1.98,2.9,2.92,3.98,3.21,0.00519,0.0122,0.0108,0.0112,0.0183,0.017,0.00941,0.0149,0.886,1.42,12.2,0.00779,0.0488,1,"BL-BRZ","NHL26",NA,NA,"Up","all_Up"
"994","AT5G53880","all",0.454,0.667,0.474,2.61,2.98,4.73,0.00359,0.00744,0.00511,0.0143,0.0247,0.0328,0.00554,0.0222,2.67,1,122,3.27e-06,0.000484,0.077,"BL-BRZ","AT5G53880",NA,NA,"Up","all_Up"
"995","AT5G53970","all",11.4,7.6,7.06,7.2,3.85,3.17,0.101,0.0696,0.0773,0.0622,0.0491,0.039,0.0822,0.0523,-0.925,2.75,40.4,0.000194,0.00475,1,"BL-BRZ","AT5G53970",NA,NA,"Down","all_Down"
"996","AT5G53980","all",1.17,2.42,2.7,0.56,0.736,0.513,0.0114,0.0188,0.0226,0.0048,0.00643,0.00514,0.0171,0.00539,-1.72,0.452,44,0.000144,0.00394,1,"BL-BRZ","ATHB-52","HB52","homeobox protein 52","Down","all_Down"
"997","AT5G53990","all",5.92,5.22,6.36,2.46,2.5,2.92,0.0526,0.0524,0.069,0.0215,0.0283,0.0309,0.0564,0.0259,-1.15,2.09,60.5,4.61e-05,0.00202,1,"BL-BRZ","UGT79B9",NA,NA,"Down","all_Down"
"998","AT5G54020","all",5.06,4.32,4.7,10.8,9.92,9.55,0.0513,0.0453,0.0568,0.0852,0.0976,0.0965,0.0501,0.0919,1.11,2.89,91.7,9.74e-06,0.00082,0.228,"BL-BRZ","AT5G54020",NA,NA,"Up","all_Up"
"999","AT5G54030","all",0.928,0.958,0.855,1.62,1.85,2.15,0.0112,0.0112,0.013,0.0157,0.0254,0.0287,0.0116,0.022,1.03,0.499,31.7,0.000448,0.00776,1,"BL-BRZ","AT5G54030",NA,NA,"Up","all_Up"
"1000","AT5G54145","all",19.5,33.8,43.1,32.8,67.9,58.4,0.136,0.164,0.19,0.152,0.253,0.209,0.16,0.197,0.726,5.41,36.6,0.000276,0.00578,1,"BL-BRZ","AT5G54145",NA,NA,"Up","all_Up"
"1001","AT5G54165","all",459,278,284,287,169,178,0.566,0.294,0.314,0.514,0.264,0.212,0.394,0.361,-0.687,8.11,51.1,8.51e-05,0.00293,1,"BL-BRZ","AT5G54165",NA,NA,"Down","all_Down"
"1002","AT5G54190","all",3.36,4.17,3.05,6.56,5.9,5.38,0.0374,0.0434,0.0411,0.0574,0.0705,0.0601,0.0407,0.0621,0.75,2.25,21.2,0.00161,0.0174,1,"BL-BRZ","PORA",NA,NA,"Up","all_Up"
"1003","AT5G54380","all",55.3,41.9,36.7,95.5,71.4,82.1,0.27,0.243,0.25,0.382,0.402,0.419,0.254,0.397,0.905,6,68.7,2.89e-05,0.00155,0.671,"BL-BRZ","THE1",NA,NA,"Up","all_Up"
"1004","AT5G54400","all",0.869,1.99,1.8,2.44,3.59,2.64,0.0103,0.0205,0.0228,0.0196,0.0383,0.0248,0.0175,0.0267,0.958,1.17,19.9,0.00198,0.0199,1,"BL-BRZ","AT5G54400",NA,NA,"Up","all_Up"
"1005","AT5G54510","all",55.5,38.7,51.9,31.3,19.7,33.7,0.263,0.161,0.23,0.163,0.11,0.142,0.213,0.141,-0.785,5.27,15.8,0.00385,0.0306,1,"BL-BRZ","GH3.6",NA,NA,"Down","all_Down"
"1006","AT5G54710","all",0.0592,0.0855,0.243,0.816,0.396,0.83,0.000799,0.00101,0.00236,0.00766,0.0057,0.00869,0.00126,0.00732,2.45,-1.25,20.9,0.00171,0.018,1,"BL-BRZ","AT5G54710",NA,NA,"Up","all_Up"
"1007","AT5G54790","all",2.13,2.93,3.36,2.96,7.6,11.3,0.0148,0.0168,0.0199,0.0207,0.0438,0.0484,0.0168,0.0348,1.23,2.34,23.1,0.00125,0.0148,1,"BL-BRZ","VUP4",NA,NA,"Up","all_Up"
"1008","AT5G54970","all",17.8,27.7,26.6,26.2,46.4,36.2,0.104,0.134,0.125,0.137,0.208,0.166,0.122,0.166,0.591,4.91,27.8,0.00069,0.0103,1,"BL-BRZ","AT5G54970",NA,NA,"Up","all_Up"
"1009","AT5G55050","all",15.9,12.5,14.5,9.35,6.4,9.18,0.0885,0.0763,0.0906,0.0623,0.0527,0.0633,0.084,0.0596,-0.784,3.5,26.3,0.000821,0.0115,1,"BL-BRZ","AT5G55050",NA,NA,"Down","all_Down"
"1010","AT5G55180","all",464,287,293,315,168,196,0.581,0.37,0.355,0.491,0.303,0.241,0.44,0.37,-0.633,8.17,35.5,0.000304,0.00616,1,"BL-BRZ","AT5G55180",NA,NA,"Down","all_Down"
"1011","AT5G55250","all",1.53,1.96,1.36,5.5,3.54,4.03,0.013,0.0114,0.0116,0.0387,0.0269,0.0286,0.012,0.0325,1.4,1.59,45.5,0.000128,0.00368,1,"BL-BRZ","IAMT1",NA,NA,"Up","all_Up"
"1012","AT5G55390","all",10.8,9.62,8.53,5.15,3.98,4.03,0.122,0.105,0.114,0.0495,0.0567,0.0578,0.113,0.0538,-1.14,2.81,89.5,1.07e-05,0.000866,0.25,"BL-BRZ","EDM2",NA,NA,"Down","all_Down"
"1013","AT5G55400","all",41.7,35.1,31,20.2,14.1,15,0.206,0.179,0.18,0.119,0.119,0.0986,0.189,0.114,-1.14,4.71,133,2.32e-06,0.000421,0.0547,"BL-BRZ","FIM3",NA,NA,"Down","all_Down"
"1014","AT5G55490","all",2.15,2.52,2.96,2.76,4.63,4.61,0.0253,0.026,0.036,0.0261,0.0532,0.0491,0.0281,0.0403,0.626,1.72,16.7,0.00333,0.0279,1,"BL-BRZ","GEX1",NA,NA,"Up","all_Up"
"1015","AT5G55780","all",1.05,0.907,0.935,1.87,1.92,2.36,0.0125,0.0108,0.0153,0.0177,0.0275,0.0317,0.0125,0.0242,1.09,0.608,34.9,0.000322,0.00637,1,"BL-BRZ","AT5G55780",NA,NA,"Up","all_Up"
"1016","AT5G55850","all",212,239,296,300,432,445,0.61,0.57,0.648,0.649,0.746,0.732,0.603,0.7,0.641,8.33,28.9,0.00061,0.00945,1,"BL-BRZ","NOI",NA,NA,"Up","all_Up"
"1017","AT5G55910","all",29.1,38.7,36.7,48.4,61.1,59.1,0.224,0.261,0.277,0.274,0.391,0.382,0.251,0.337,0.693,5.51,60.6,4.58e-05,0.00202,1,"BL-BRZ","D6PK",NA,NA,"Up","all_Up"
"1018","AT5G56250","all",5.39,6.75,5.82,9.04,8.98,9.49,0.0644,0.0741,0.0826,0.0831,0.115,0.121,0.0727,0.103,0.618,2.93,24.8,0.000991,0.0128,1,"BL-BRZ","HAP8",NA,NA,"Up","all_Up"
"1019","AT5G56610","all",5.64,2.79,5.01,2.93,2.29,2.23,0.0602,0.032,0.0653,0.0276,0.0321,0.0298,0.0497,0.0295,-0.837,1.81,14.9,0.00457,0.0341,1,"BL-BRZ","AT5G56610",NA,NA,"Down","all_Down"
"1020","AT5G56870","all",18.2,36.5,34,18.1,13.1,16.4,0.065,0.0776,0.094,0.0692,0.0549,0.0623,0.0771,0.063,-0.848,4.51,12.7,0.00705,0.0457,1,"BL-BRZ","BGAL4",NA,NA,"Down","all_Down"
"1021","AT5G57040","all",23.4,29,39.5,9.97,15.3,15.1,0.164,0.159,0.201,0.0818,0.126,0.118,0.171,0.104,-1.19,4.46,87.4,1.17e-05,0.000916,0.273,"BL-BRZ","AT5G57040",NA,NA,"Down","all_Down"
"1022","AT5G57050","all",25.3,29,31.7,12.5,10.9,10.8,0.208,0.196,0.229,0.106,0.121,0.11,0.208,0.111,-1.33,4.32,117,3.8e-06,0.000508,0.0894,"BL-BRZ","ABI2",NA,NA,"Down","all_Down"
"1023","AT5G57130","all",2.4,5.77,4.83,6.74,9,10.5,0.0154,0.0371,0.0436,0.0292,0.0565,0.0612,0.0311,0.0457,1.08,2.71,40.9,0.000188,0.00463,1,"BL-BRZ","SMXL5",NA,NA,"Up","all_Up"
"1024","AT5G57345","all",4.46,3.22,3.52,2.46,1.8,2.3,0.0491,0.0353,0.0484,0.0243,0.0245,0.0293,0.0432,0.0256,-0.764,1.58,24.2,0.00108,0.0135,1,"BL-BRZ","AT5G57345",NA,NA,"Down","all_Down"
"1025","AT5G57420","all",0.583,2.75,1.29,4.56,11.3,6.74,0.00493,0.0135,0.00845,0.0255,0.0473,0.0289,0.00931,0.0331,2.38,2.19,51.4,8.33e-05,0.00288,1,"BL-BRZ","IAA33","IAA33","indole-3-acetic acid inducible 33","Up","all_Up"
"1026","AT5G57620","all",46.6,57.3,70,94.6,83.3,83.1,0.098,0.0603,0.0698,0.146,0.0765,0.0761,0.0757,0.107,0.598,6.18,15.9,0.0038,0.0303,1,"BL-BRZ","MYB36","MYB36","myb domain protein 36","Up","all_Up"
"1027","AT5G57660","all",99,98.3,108,62.6,59.1,63,0.491,0.397,0.448,0.346,0.356,0.336,0.442,0.347,-0.726,6.35,55.1,6.46e-05,0.00249,1,"BL-BRZ","COL5","COL5","CONSTANS-like 5","Down","all_Down"
"1028","AT5G57685","all",18.9,28.5,41.9,44.6,50.4,66.2,0.0799,0.107,0.149,0.135,0.187,0.214,0.107,0.171,0.897,5.38,23.9,0.00112,0.0138,1,"BL-BRZ","GDU3",NA,NA,"Up","all_Up"
"1029","AT5G57785","all",129,102,113,2.27,2.49,3.34,0.22,0.159,0.166,0.0093,0.00818,0.00834,0.182,0.00871,-5.41,5.88,809,1.67e-09,3.96e-05,3.96e-05,"BL-BRZ","AT5G57785",NA,NA,"Down","all_Down"
"1030","AT5G57790","all",1.39,1.17,0.866,0.157,0.23,0.142,0.0141,0.0125,0.011,0.00143,0.00307,0.00177,0.0127,0.00202,-2.67,-0.549,78.6,1.74e-05,0.00113,0.405,"BL-BRZ","AT5G57790",NA,NA,"Down","all_Down"
"1031","AT5G57887","all",0.217,0.838,1.07,0.501,1.72,2.18,0.00266,0.00992,0.0161,0.00521,0.0223,0.0259,0.00885,0.0157,1.08,0.143,25.3,0.000931,0.0123,1,"BL-BRZ","AT5G57887",NA,NA,"Up","all_Up"
"1032","AT5G57890","all",19.3,17,16.7,11.7,12,9.95,0.169,0.142,0.155,0.102,0.125,0.104,0.154,0.109,-0.652,3.86,34.3,0.000342,0.00661,1,"BL-BRZ","ASB2",NA,NA,"Down","all_Down"
"1033","AT5G57900","all",49,38.4,43.4,32.4,27.2,26.5,0.336,0.253,0.336,0.244,0.253,0.25,0.302,0.248,-0.602,5.18,42.7,0.000161,0.00422,1,"BL-BRZ","SKIP1",NA,NA,"Down","all_Down"
"1034","AT5G58070","all",162,102,138,73.7,44.8,64.9,0.514,0.281,0.349,0.311,0.215,0.213,0.379,0.256,-1.13,6.61,45.4,0.000129,0.00369,1,"BL-BRZ","TIL",NA,NA,"Down","all_Down"
"1035","AT5G58310","all",2.79,3.4,3.78,5.44,4.4,5.15,0.0323,0.0371,0.047,0.0455,0.0543,0.0607,0.0378,0.052,0.593,2.06,13.1,0.00644,0.0431,1,"BL-BRZ","MES18",NA,NA,"Up","all_Up"
"1036","AT5G58360","all",0.691,0.932,1.58,0.315,0.561,0.775,0.00759,0.00902,0.014,0.00266,0.00672,0.00798,0.00969,0.00525,-0.975,-0.282,12.7,0.0071,0.0459,1,"BL-BRZ","OFP3","OFP3","ovate family protein 3","Down","all_Down"
"1037","AT5G58670","all",18.5,10.4,8.97,8.33,4.96,4.36,0.114,0.0632,0.0602,0.0575,0.0406,0.0298,0.0802,0.0453,-1.09,3.21,78.4,1.75e-05,0.00114,0.409,"BL-BRZ","PLC1",NA,NA,"Down","all_Down"
"1038","AT5G58784","all",50,47.3,71.6,88.9,104,139,0.138,0.104,0.13,0.171,0.145,0.157,0.122,0.16,0.966,6.38,29.8,0.000548,0.00887,1,"BL-BRZ","AT5G58784",NA,NA,"Up","all_Up"
"1039","AT5G58800","all",18.1,13.2,16.2,11,7.21,7.81,0.148,0.116,0.171,0.0917,0.0847,0.0867,0.14,0.0883,-0.883,3.61,49.1,9.8e-05,0.00317,1,"BL-BRZ","AT5G58800",NA,NA,"Down","all_Down"
"1040","AT5G58910","all",0.326,0.265,0.37,0.717,0.525,1.3,0.00399,0.00316,0.00491,0.00705,0.00672,0.0153,0.00387,0.00902,1.39,-0.743,14,0.00547,0.0384,1,"BL-BRZ","LAC16",NA,NA,"Up","all_Up"
"1041","AT5G59010","all",12.6,12.5,11.2,6.97,7.78,8.63,0.105,0.102,0.105,0.0546,0.0808,0.0773,0.104,0.0684,-0.637,3.32,25.5,0.000914,0.0122,1,"BL-BRZ","BSK5",NA,NA,"Down","all_Down"
"1042","AT5G59020","all",5.81,8.16,6.93,3.93,4.1,3.85,0.0627,0.0797,0.0802,0.0358,0.0526,0.0505,0.0739,0.0447,-0.804,2.46,31.9,0.000438,0.00766,1,"BL-BRZ","AT5G59020",NA,NA,"Down","all_Down"
"1043","AT5G59150","all",61.2,61.1,79.2,82.2,129,120,0.298,0.293,0.359,0.355,0.462,0.469,0.31,0.417,0.694,6.47,25.5,0.000911,0.0121,1,"BL-BRZ","RABA2D",NA,NA,"Up","all_Up"
"1044","AT5G59220","all",126,137,131,73.1,48.8,55.9,0.477,0.331,0.359,0.331,0.208,0.196,0.389,0.259,-1.17,6.57,70.2,2.66e-05,0.00147,0.619,"BL-BRZ","SAG113",NA,NA,"Down","all_Down"
"1045","AT5G59280","all",0.395,0.436,0.681,0.963,1.03,1.82,0.00506,0.00507,0.00845,0.00858,0.0129,0.0215,0.00587,0.0132,1.34,-0.149,21.2,0.00162,0.0174,1,"BL-BRZ","APUM16",NA,NA,"Up","all_Up"
"1046","AT5G59350","all",6.3,6.69,7.23,11.7,11.8,14,0.0509,0.0589,0.0668,0.0822,0.111,0.119,0.058,0.1,0.892,3.27,55.7,6.22e-05,0.00245,1,"BL-BRZ","AT5G59350",NA,NA,"Up","all_Up"
"1047","AT5G59400","all",7.56,5.56,7.56,4.79,4.27,4.47,0.0843,0.0593,0.0946,0.0438,0.0558,0.0541,0.0764,0.0501,-0.611,2.52,16.9,0.00321,0.0271,1,"BL-BRZ","AT5G59400",NA,NA,"Down","all_Down"
"1048","AT5G59480","all",101,89,117,60,77.6,63.6,0.419,0.339,0.389,0.299,0.333,0.3,0.379,0.31,-0.617,6.41,19.8,0.00201,0.0201,1,"BL-BRZ","AT5G59480",NA,NA,"Down","all_Down"
"1049","AT5G59540","all",6.21,7.54,11.6,4.63,3.76,4.75,0.0437,0.053,0.0792,0.0338,0.0323,0.0397,0.0559,0.0348,-0.922,2.68,17.1,0.00309,0.0264,1,"BL-BRZ","AT5G59540",NA,NA,"Down","all_Down"
"1050","AT5G59570","all",62.3,65.1,84.1,41.1,50,47.2,0.308,0.304,0.356,0.241,0.298,0.264,0.318,0.265,-0.611,5.87,27.4,0.000719,0.0106,1,"BL-BRZ","BOA","BOA","Homeodomain-like superfamily protein","Down","all_Down"
"1051","AT5G59780","all",2.26,3.66,3.73,5.49,5.19,6.23,0.0184,0.0282,0.0313,0.0332,0.0351,0.0387,0.0255,0.0352,0.841,2.15,23.6,0.00116,0.0141,1,"BL-BRZ","MYB59","MYB59","myb domain protein 59","Up","all_Up"
"1052","AT5G59790","all",9.81,8.37,7.17,4.74,3.77,3.19,0.0915,0.064,0.0649,0.0402,0.0424,0.0353,0.0738,0.0396,-1.12,2.63,68.8,2.87e-05,0.00155,0.667,"BL-BRZ","AT5G59790",NA,NA,"Down","all_Down"
"1053","AT5G59845","all",1.72,3.05,3.79,0.924,1.31,2,0.00772,0.0119,0.0136,0.00562,0.00803,0.0105,0.0109,0.00759,-1,1.1,24.2,0.00108,0.0135,1,"BL-BRZ","GASA10",NA,NA,"Down","all_Down"
"1054","AT5G59930","all",9.97,8.77,8.25,13.1,12.7,14.6,0.0948,0.0749,0.0855,0.104,0.113,0.121,0.0844,0.111,0.585,3.49,23.3,0.00121,0.0145,1,"BL-BRZ","AT5G59930",NA,NA,"Up","all_Up"
"1055","AT5G60020","all",13,21.9,23.8,6.7,7.74,14,0.00985,0.0145,0.0153,0.00552,0.00599,0.00709,0.0131,0.00606,-1.03,3.86,26.9,0.000764,0.011,1,"BL-BRZ","LAC17",NA,NA,"Down","all_Down"
"1056","AT5G60350","all",2.83,2.63,3.16,6.12,4.49,5.38,0.0265,0.0231,0.0315,0.0502,0.0377,0.0449,0.0263,0.045,0.883,2.04,31.7,0.000447,0.00776,1,"BL-BRZ","AT5G60350",NA,NA,"Up","all_Up"
"1057","AT5G60400","all",25.6,31.9,32.8,41.8,51.8,45.4,0.126,0.156,0.159,0.18,0.255,0.229,0.146,0.215,0.628,5.26,42.9,0.000158,0.00417,1,"BL-BRZ","AT5G60400",NA,NA,"Up","all_Up"
"1058","AT5G60490","all",6.58,11.3,11.2,12.4,30.8,30.3,0.0165,0.0291,0.0295,0.0254,0.0445,0.0474,0.0248,0.0369,1.27,4.1,98.1,7.51e-06,0.000724,0.176,"BL-BRZ","FLA12",NA,NA,"Up","all_Up"
"1059","AT5G60520","all",95.3,43.7,45.6,152,101,122,0.251,0.124,0.124,0.315,0.214,0.21,0.169,0.257,1.11,6.54,52.9,7.49e-05,0.00271,1,"BL-BRZ","AT5G60520",NA,NA,"Up","all_Up"
"1060","AT5G60690","all",13.8,17.4,14.6,25.1,23.5,26.9,0.105,0.128,0.136,0.126,0.171,0.186,0.122,0.155,0.724,4.34,39.2,0.000217,0.00514,1,"BL-BRZ","REV","REV","Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein","Up","all_Up"
"1061","AT5G60760","all",8.9,6.66,6.06,10.6,11.3,12.5,0.0984,0.0689,0.0769,0.0915,0.114,0.117,0.0811,0.105,0.685,3.23,19,0.00228,0.0217,1,"BL-BRZ","AT5G60760",NA,NA,"Up","all_Up"
"1062","AT5G60800","all",58.4,40.7,36.5,80.7,62.3,60.4,0.161,0.135,0.135,0.256,0.211,0.192,0.144,0.226,0.601,5.82,36.3,0.000282,0.00584,1,"BL-BRZ","AT5G60800",NA,NA,"Up","all_Up"
"1063","AT5G60920","all",142,162,162,249,240,240,0.503,0.529,0.553,0.661,0.703,0.683,0.525,0.679,0.646,7.64,40.4,0.000195,0.00475,1,"BL-BRZ","COB",NA,NA,"Up","all_Up"
"1064","AT5G60950","all",181,328,490,126,203,240,0.496,0.371,0.418,0.409,0.334,0.341,0.426,0.369,-0.764,8.03,20.4,0.00182,0.0188,1,"BL-BRZ","COBL5",NA,NA,"Down","all_Down"
"1065","AT5G61000","all",5.87,8.17,6.4,8.22,12.5,12.3,0.0314,0.0371,0.0293,0.0429,0.0558,0.0497,0.0333,0.0486,0.673,3.16,24.2,0.00108,0.0135,1,"BL-BRZ","RPA1D",NA,NA,"Up","all_Up"
"1066","AT5G61010","all",26.7,14.3,15.7,16,9.1,11.7,0.238,0.129,0.164,0.132,0.103,0.126,0.175,0.121,-0.601,3.96,23.1,0.00125,0.0148,1,"BL-BRZ","ATEXO70E2",NA,NA,"Down","all_Down"
"1067","AT5G61200","all",1.38,1.57,1.94,2.03,2.71,2.76,0.016,0.0189,0.0265,0.0182,0.0333,0.0344,0.0197,0.0269,0.616,1.06,15,0.00452,0.0339,1,"BL-BRZ","AT5G61200",NA,NA,"Up","all_Up"
"1068","AT5G61260","all",7.61,3.56,4.02,4.74,2.4,2.75,0.0499,0.027,0.0332,0.0314,0.0219,0.02,0.0365,0.0256,-0.6,2.07,19.2,0.0022,0.0213,1,"BL-BRZ","AT5G61260",NA,NA,"Down","all_Down"
