"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_124.cpm","sc_128.cpm","sc_122.frq","sc_126.frq","sc_124.frq","sc_128.frq","WT.frq","df1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"2472","AT5G47200","Proliferation Domain_Atrichoblast",517,494,352,295,0.897,0.943,0.842,0.837,0.91,0.84,-0.638,8.7,18.5,1.72e-05,0.000955,1,"df1-WT","RABD2B",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2473","AT5G47210","Proliferation Domain_Atrichoblast",326,353,504,627,0.931,0.686,0.851,0.93,0.861,0.875,0.721,8.82,24.3,8.36e-07,7.69e-05,0.437,"df1-WT","RGGC",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2474","AT5G47435","Proliferation Domain_Atrichoblast",102,94.5,60.3,45.8,0.678,0.543,0.426,0.419,0.639,0.424,-0.865,6.28,13.1,0.000293,0.0095,1,"df1-WT","PURU1",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2475","AT5G47450","Proliferation Domain_Atrichoblast",53.9,20,13.6,19.1,0.345,0.257,0.168,0.209,0.32,0.181,-1.37,4.94,15.8,6.96e-05,0.00298,1,"df1-WT","TIP2-3",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2476","AT5G47660","Proliferation Domain_Atrichoblast",7.39,16.4,29,25.5,0.149,0.229,0.317,0.302,0.172,0.312,1.47,4.37,14.3,0.000158,0.00573,1,"df1-WT","AT5G47660","AT5G47660","Homeodomain-like superfamily protein","Up","Proliferation Domain_Atrichoblast_Up"
"2477","AT5G47710","Proliferation Domain_Atrichoblast",1.58,3.64,17.1,24.2,0.0345,0.0571,0.158,0.256,0.041,0.188,3.11,3.66,29.9,4.56e-08,6.32e-06,0.0239,"df1-WT","CAR11",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2478","AT5G48030","Proliferation Domain_Atrichoblast",6.34,0,11.4,29.3,0.126,0,0.129,0.279,0.0902,0.174,1.77,3.69,13.1,0.000293,0.0095,1,"df1-WT","GFA2",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2479","AT5G48240","Proliferation Domain_Atrichoblast",16.4,3.64,36.4,39.5,0.264,0.0286,0.297,0.279,0.197,0.292,1.61,4.76,20.3,6.79e-06,0.000454,1,"df1-WT","AT5G48240",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2480","AT5G48385","Proliferation Domain_Atrichoblast",22.7,36.4,47.7,58.6,0.333,0.314,0.465,0.465,0.328,0.465,0.915,5.38,9.43,0.00214,0.043,1,"df1-WT","FRL3",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2481","AT5G48500","Proliferation Domain_Atrichoblast",5.28,21.8,30.7,38.2,0.0805,0.114,0.218,0.326,0.0902,0.25,1.73,4.57,21.1,4.35e-06,0.000315,1,"df1-WT","AT5G48500",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2482","AT5G48930","Proliferation Domain_Atrichoblast",38,20,12.5,8.91,0.299,0.2,0.198,0.116,0.27,0.174,-1.48,4.54,15.5,8.42e-05,0.00353,1,"df1-WT","HST",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2483","AT5G48940","Proliferation Domain_Atrichoblast",4.22,3.64,9.66,29.3,0.092,0.0571,0.129,0.326,0.082,0.188,1.81,3.58,12.4,0.000434,0.0127,1,"df1-WT","RCH1",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2484","AT5G50740","Proliferation Domain_Atrichoblast",21.1,32.7,52.9,40.7,0.322,0.286,0.426,0.419,0.311,0.424,0.949,5.27,9.49,0.00207,0.0419,1,"df1-WT","AT5G50740",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2485","AT5G50810","Proliferation Domain_Atrichoblast",100,80,155,154,0.701,0.457,0.673,0.744,0.631,0.694,0.752,6.98,13.7,0.000218,0.00753,1,"df1-WT","TIM8",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2486","AT5G51200","Proliferation Domain_Atrichoblast",1.58,0,8.53,20.4,0.0345,0,0.129,0.186,0.0246,0.146,3.14,3.1,17.4,2.97e-05,0.00151,1,"df1-WT","AT5G51200",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2487","AT5G51400","Proliferation Domain_Atrichoblast",167,164,109,94.2,0.701,0.486,0.535,0.628,0.639,0.562,-0.688,7.07,12.1,0.000492,0.0139,1,"df1-WT","AT5G51400",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2488","AT5G51500","Proliferation Domain_Atrichoblast",155,144,83,85.3,0.644,0.543,0.396,0.442,0.615,0.41,-0.84,6.88,16.6,4.63e-05,0.00219,1,"df1-WT","PME60",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2489","AT5G52470","Proliferation Domain_Atrichoblast",111,65.4,214,266,0.563,0.257,0.584,0.605,0.475,0.59,1.36,7.39,50.2,1.42e-12,4.78e-10,7.46e-07,"df1-WT","MED36B",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2490","AT5G53770","Proliferation Domain_Atrichoblast",5.28,1.82,9.09,25.5,0.115,0.0286,0.149,0.279,0.0902,0.188,1.59,3.49,9.2,0.00242,0.0468,1,"df1-WT","AT5G53770",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2491","AT5G54165","Proliferation Domain_Atrichoblast",200,131,151,63.7,0.667,0.6,0.495,0.395,0.648,0.465,-0.637,7.16,10.3,0.00131,0.0297,1,"df1-WT","AT5G54165",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2492","AT5G54640","Proliferation Domain_Atrichoblast",139,184,83,58.6,0.552,0.486,0.366,0.326,0.533,0.354,-1.11,6.84,28,1.23e-07,1.47e-05,0.0646,"df1-WT","RAT5","RAT5","Histone superfamily protein","Down","Proliferation Domain_Atrichoblast_Down"
"2493","AT5G54910","Proliferation Domain_Atrichoblast",3.7,1.82,11.4,12.7,0.0805,0.0286,0.139,0.163,0.0656,0.146,1.86,3.21,9.13,0.00252,0.0479,1,"df1-WT","RH32",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2494","AT5G55280","Proliferation Domain_Atrichoblast",3.7,5.45,13.6,22.9,0.069,0.0571,0.168,0.186,0.0656,0.174,1.93,3.62,14.3,0.000155,0.00566,1,"df1-WT","FTSZ1",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2495","AT5G55920","Proliferation Domain_Atrichoblast",11.1,12.7,29,57.3,0.161,0.114,0.297,0.326,0.148,0.306,1.67,4.78,22,2.71e-06,0.000208,1,"df1-WT","OLI2",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2496","AT5G56530","Proliferation Domain_Atrichoblast",2.64,7.27,15.9,7.64,0.0575,0.0571,0.139,0.116,0.0574,0.132,1.75,3.35,9.33,0.00226,0.0445,1,"df1-WT","AT5G56530",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2497","AT5G56540","Proliferation Domain_Atrichoblast",402,293,223,140,0.977,0.914,0.911,0.907,0.959,0.91,-0.939,8.07,32.1,1.49e-08,2.33e-06,0.00778,"df1-WT","AGP14",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2498","AT5G56580","Proliferation Domain_Atrichoblast",1.06,0,9.09,8.91,0.023,0,0.0891,0.14,0.0164,0.104,3.36,2.73,12.5,0.000406,0.0121,1,"df1-WT","MKK6",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2499","AT5G56790","Proliferation Domain_Atrichoblast",2.64,3.64,11.9,10.2,0.046,0.0286,0.109,0.14,0.041,0.118,1.94,3.14,9.05,0.00263,0.0495,1,"df1-WT","AT5G56790",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2500","AT5G56980","Proliferation Domain_Atrichoblast",190,256,142,139,0.736,0.543,0.505,0.558,0.68,0.521,-0.627,7.49,12.1,0.000512,0.0144,1,"df1-WT","A70",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2501","AT5G57120","Proliferation Domain_Atrichoblast",44.4,36.4,81.3,99.3,0.529,0.314,0.446,0.628,0.467,0.5,1.08,6.08,18.2,2.04e-05,0.00108,1,"df1-WT","AT5G57120",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2502","AT5G57420","Proliferation Domain_Atrichoblast",7.92,30.9,47.7,30.6,0.069,0.0857,0.168,0.256,0.0738,0.194,1.49,4.91,18.6,1.6e-05,0.000902,1,"df1-WT","IAA33","IAA33","indole-3-acetic acid inducible 33","Up","Proliferation Domain_Atrichoblast_Up"
"2503","AT5G57560","Proliferation Domain_Atrichoblast",79.2,85.4,214,117,0.379,0.286,0.356,0.302,0.352,0.34,1.06,7.02,26.3,2.99e-07,3.2e-05,0.156,"df1-WT","XTH22",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2504","AT5G58590","Proliferation Domain_Atrichoblast",67.1,50.9,115,107,0.632,0.343,0.436,0.605,0.549,0.486,0.887,6.47,14.9,0.000113,0.0044,1,"df1-WT","RANBP1C",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2505","AT5G59150","Proliferation Domain_Atrichoblast",68.7,80,42.1,40.7,0.552,0.457,0.327,0.302,0.525,0.319,-0.81,5.86,9.56,0.00199,0.0408,1,"df1-WT","RABA2D",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2506","AT5G59510","Proliferation Domain_Atrichoblast",318,309,160,160,0.667,0.6,0.455,0.558,0.648,0.486,-0.972,7.89,32.8,1.02e-08,1.65e-06,0.00532,"df1-WT","RTFL5",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2507","AT5G59820","Proliferation Domain_Atrichoblast",1550,1700,930,677,0.943,1,0.921,0.93,0.959,0.924,-1.02,10.2,67.7,2.04e-16,1.35e-13,1.07e-10,"df1-WT","ZAT12","RHL41","C2H2-type zinc finger family protein","Down","Proliferation Domain_Atrichoblast_Down"
"2508","AT5G60030","Proliferation Domain_Atrichoblast",20.1,18.2,41.5,53.5,0.287,0.229,0.356,0.442,0.27,0.382,1.22,5.12,14.5,0.00014,0.00523,1,"df1-WT","AT5G60030",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2509","AT5G60210","Proliferation Domain_Atrichoblast",1.58,3.64,10.2,10.2,0.0345,0.0571,0.129,0.116,0.041,0.125,2.21,2.98,9.37,0.00221,0.044,1,"df1-WT","RIP5",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2510","AT5G60520","Proliferation Domain_Atrichoblast",16.9,12.7,59.7,31.8,0.184,0.143,0.327,0.163,0.172,0.278,1.68,5.11,24.7,6.6e-07,6.28e-05,0.345,"df1-WT","AT5G60520",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2511","AT5G60670","Proliferation Domain_Atrichoblast",244,238,371,360,0.862,0.657,0.743,0.837,0.803,0.771,0.6,8.26,14.3,0.000156,0.00567,1,"df1-WT","RPL12C",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2512","AT5G61020","Proliferation Domain_Atrichoblast",53.9,67.3,77.3,136,0.552,0.514,0.485,0.744,0.541,0.562,0.731,6.37,9.93,0.00163,0.0353,1,"df1-WT","ECT3",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2513","AT5G61030","Proliferation Domain_Atrichoblast",2.64,1.82,12.5,12.7,0.0575,0.0286,0.139,0.163,0.0492,0.146,2.33,3.21,13.1,0.000291,0.00947,1,"df1-WT","RBG3",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2514","AT5G61130","Proliferation Domain_Atrichoblast",20.6,16.4,59.1,76.4,0.287,0.114,0.386,0.465,0.238,0.41,1.75,5.49,32.4,1.25e-08,2e-06,0.00652,"df1-WT","PDCB1",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2515","AT5G61880","Proliferation Domain_Atrichoblast",31.2,10.9,49.5,44.6,0.322,0.143,0.376,0.326,0.27,0.361,1.02,5.25,10.6,0.00112,0.0264,1,"df1-WT","PAM16L1",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2516","AT5G62190","Proliferation Domain_Atrichoblast",34.9,29.1,60.3,130,0.483,0.2,0.446,0.465,0.402,0.451,1.31,5.98,24.8,6.31e-07,6.09e-05,0.33,"df1-WT","RH7",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2517","AT5G62330","Proliferation Domain_Atrichoblast",77.6,122,151,185,0.483,0.486,0.535,0.442,0.484,0.507,0.8,7.06,16.2,5.69e-05,0.00255,1,"df1-WT","AT5G62330",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2518","AT5G62440","Proliferation Domain_Atrichoblast",57.6,20,84.7,94.2,0.506,0.143,0.406,0.465,0.402,0.424,1.06,6.1,17.3,3.19e-05,0.0016,1,"df1-WT","EMB514",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2519","AT5G62520","Proliferation Domain_Atrichoblast",98.2,116,63.7,44.6,0.517,0.571,0.416,0.349,0.533,0.396,-0.917,6.34,15.3,9.1e-05,0.00373,1,"df1-WT","SRO5",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2520","AT5G62540","Proliferation Domain_Atrichoblast",146,131,110,57.3,0.701,0.629,0.614,0.442,0.68,0.562,-0.696,6.84,11,0.000897,0.0221,1,"df1-WT","UBC3",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2521","AT5G63350","Proliferation Domain_Atrichoblast",22.2,16.4,3.98,5.09,0.218,0.0857,0.0495,0.0465,0.18,0.0486,-2.2,3.79,20.9,4.88e-06,0.000343,1,"df1-WT","AT5G63350",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2522","AT5G63790","Proliferation Domain_Atrichoblast",1320,971,788,712,0.989,0.943,0.921,1,0.975,0.944,-0.603,9.89,22.3,2.37e-06,0.000186,1,"df1-WT","ANAC102","NAC102","NAC domain containing protein 102","Down","Proliferation Domain_Atrichoblast_Down"
"2523","AT5G64080","Proliferation Domain_Atrichoblast",6.87,20,22.7,30.6,0.092,0.171,0.208,0.302,0.115,0.236,1.24,4.31,10.3,0.00136,0.0304,1,"df1-WT","AT5G64080",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2524","AT5G64100","Proliferation Domain_Atrichoblast",75,43.6,31.8,22.9,0.471,0.429,0.228,0.233,0.459,0.229,-1.13,5.57,14.8,0.000118,0.00457,1,"df1-WT","PER69",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2525","AT5G64250","Proliferation Domain_Atrichoblast",297,296,237,139,0.793,0.686,0.723,0.814,0.762,0.75,-0.651,7.94,14.9,0.000111,0.00436,1,"df1-WT","AT5G64250",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2526","AT5G64650","Proliferation Domain_Atrichoblast",14.3,5.45,28.4,28,0.276,0.0857,0.267,0.349,0.221,0.292,1.3,4.45,12,0.000547,0.0151,1,"df1-WT","AT5G64650",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2527","AT5G64750","Proliferation Domain_Atrichoblast",79.7,52.7,50.6,20.4,0.448,0.343,0.257,0.186,0.418,0.236,-0.87,5.8,10,0.00155,0.034,1,"df1-WT","ABR1","ABR1","Integrase-type DNA-binding superfamily protein","Down","Proliferation Domain_Atrichoblast_Down"
"2528","AT5G65360","Proliferation Domain_Atrichoblast",639,778,585,313,0.793,0.571,0.624,0.512,0.73,0.59,-0.67,9.18,22.5,2.09e-06,0.000169,1,"df1-WT","HTR2",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2529","AT5G65430","Proliferation Domain_Atrichoblast",557,464,348,298,0.874,0.914,0.812,0.791,0.885,0.806,-0.658,8.71,19.6,9.37e-06,0.000602,1,"df1-WT","GRF8",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2530","AT5G65700","Proliferation Domain_Atrichoblast",8.45,12.7,33,20.4,0.172,0.171,0.327,0.256,0.172,0.306,1.56,4.39,15.8,7.16e-05,0.00304,1,"df1-WT","BAM1",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2531","AT5G65860","Proliferation Domain_Atrichoblast",13.2,12.7,29.6,28,0.218,0.143,0.277,0.326,0.197,0.292,1.15,4.52,9.81,0.00174,0.0372,1,"df1-WT","AT5G65860",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2532","AT5G66390","Proliferation Domain_Atrichoblast",133,9.09,10.2,1.27,0.103,0.143,0.099,0.0233,0.115,0.0764,-3.63,5.63,86.2,1.81e-20,2.31e-17,9.48e-15,"df1-WT","PER72",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2533","AT5G67260","Proliferation Domain_Atrichoblast",11.6,10.9,21.6,35.7,0.184,0.143,0.198,0.302,0.172,0.229,1.17,4.38,9.53,0.00202,0.0413,1,"df1-WT","CYCD3;2",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2534","AT5G67300","Proliferation Domain_Atrichoblast",243,185,163,118,0.747,0.6,0.554,0.512,0.705,0.542,-0.604,7.5,11,0.000915,0.0224,1,"df1-WT","MYB44","MYBR1","myb domain protein r1","Down","Proliferation Domain_Atrichoblast_Down"
"2535","AT3G01070","Proliferation Domain_Atrichoblast",8.45,27.3,34.7,35.7,0.126,0.0857,0.228,0.233,0.115,0.229,1.32,4.73,14.1,0.000177,0.00635,1,"df1-WT","ENODL16",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2536","AT3G01513","Proliferation Domain_Atrichoblast",428,173,217,148,0.724,0.457,0.564,0.605,0.648,0.576,-0.682,7.97,15.9,6.75e-05,0.00291,1,"df1-WT","AT3G01513",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2537","AT3G01690","Proliferation Domain_Atrichoblast",5.81,7.27,23.3,11.5,0.115,0.0857,0.198,0.186,0.107,0.194,1.65,3.86,12.9,0.00033,0.0104,1,"df1-WT","AT3G01690",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2538","AT3G02140","Proliferation Domain_Atrichoblast",97.7,70.9,42.1,42,0.586,0.4,0.347,0.349,0.533,0.347,-1.04,6.04,16.6,4.63e-05,0.00219,1,"df1-WT","AFP4",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2539","AT3G02230","Proliferation Domain_Atrichoblast",2000,1990,1270,1330,0.977,0.971,0.98,0.907,0.975,0.958,-0.619,10.7,27.8,1.38e-07,1.63e-05,0.0722,"df1-WT","RGP1",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2540","AT3G02480","Proliferation Domain_Atrichoblast",88.2,135,61.4,38.2,0.54,0.543,0.386,0.209,0.541,0.333,-1.02,6.31,18.7,1.55e-05,0.000888,1,"df1-WT","AT3G02480",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2541","AT3G03170","Proliferation Domain_Atrichoblast",121,96.3,68.8,59.8,0.586,0.514,0.376,0.349,0.566,0.368,-0.764,6.48,11.3,0.000763,0.0196,1,"df1-WT","AT3G03170",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2542","AT3G03341","Proliferation Domain_Atrichoblast",24.3,25.4,6.82,17.8,0.253,0.114,0.099,0.093,0.213,0.0972,-1.26,4.25,10.5,0.00118,0.0275,1,"df1-WT","AT3G03341",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2543","AT3G03640","Proliferation Domain_Atrichoblast",31.7,60,73.9,71.3,0.425,0.343,0.525,0.535,0.402,0.528,0.817,5.89,9.66,0.00189,0.0391,1,"df1-WT","BGLU25",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2544","AT3G03920","Proliferation Domain_Atrichoblast",68.7,56.4,220,247,0.483,0.257,0.525,0.535,0.418,0.528,1.85,7.24,83.8,6.03e-20,6.79e-17,3.16e-14,"df1-WT","AT3G03920",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2545","AT3G03950","Proliferation Domain_Atrichoblast",4.75,5.45,21.6,19.1,0.103,0.0857,0.228,0.209,0.0984,0.222,2.06,3.88,19.3,1.1e-05,0.000692,1,"df1-WT","ECT1",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2546","AT3G03990","Proliferation Domain_Atrichoblast",70.8,30.9,15.9,20.4,0.391,0.314,0.158,0.209,0.369,0.174,-1.63,5.28,25.2,5.17e-07,5.21e-05,0.271,"df1-WT","D14",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2547","AT3G04010","Proliferation Domain_Atrichoblast",46.5,23.6,13.6,15.3,0.448,0.229,0.188,0.163,0.385,0.181,-1.4,4.81,16,6.36e-05,0.00277,1,"df1-WT","AT3G04010",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2548","AT3G04230","Proliferation Domain_Atrichoblast",19.5,12.7,40.9,36.9,0.31,0.143,0.297,0.326,0.262,0.306,1.2,4.93,12.7,0.000368,0.0113,1,"df1-WT","RPS16B",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2549","AT3G04570","Proliferation Domain_Atrichoblast",11.1,32.7,39.8,31.8,0.195,0.257,0.297,0.349,0.213,0.312,1.06,4.86,9.95,0.00161,0.0349,1,"df1-WT","AHL19",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2550","AT3G04640","Proliferation Domain_Atrichoblast",301,264,240,122,0.782,0.514,0.564,0.442,0.705,0.528,-0.648,7.88,14.4,0.000146,0.00539,1,"df1-WT","AT3G04640",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2551","AT3G04720","Proliferation Domain_Atrichoblast",139,100,87,58.6,0.609,0.543,0.376,0.395,0.59,0.382,-0.714,6.65,10.6,0.00113,0.0265,1,"df1-WT","HEL",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2552","AT3G05060","Proliferation Domain_Atrichoblast",37.5,50.9,88.1,140,0.414,0.229,0.376,0.442,0.361,0.396,1.32,6.3,29.9,4.72e-08,6.5e-06,0.0247,"df1-WT","NOP5-2",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2553","AT3G05130","Proliferation Domain_Atrichoblast",4.22,7.27,18.8,20.4,0.092,0.114,0.188,0.233,0.0984,0.201,1.9,3.81,16.4,5.2e-05,0.0024,1,"df1-WT","AT3G05130",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2554","AT3G05500","Proliferation Domain_Atrichoblast",439,253,263,167,0.805,0.771,0.713,0.721,0.795,0.715,-0.683,8.17,17.5,2.89e-05,0.00147,1,"df1-WT","AT3G05500",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2555","AT3G05980","Proliferation Domain_Atrichoblast",80.8,61.8,32.4,57.3,0.529,0.371,0.307,0.372,0.484,0.326,-0.822,5.89,9.78,0.00176,0.0374,1,"df1-WT","AT3G05980",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2556","AT3G06035","Proliferation Domain_Atrichoblast",145,125,203,232,0.77,0.629,0.792,0.837,0.73,0.806,0.653,7.49,12.8,0.000345,0.0107,1,"df1-WT","AT3G06035",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2557","AT3G06040","Proliferation Domain_Atrichoblast",66,70.9,101,127,0.621,0.543,0.584,0.767,0.598,0.639,0.703,6.53,9.91,0.00165,0.0355,1,"df1-WT","AT3G06040",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2558","AT3G06420","Proliferation Domain_Atrichoblast",276,225,144,117,0.793,0.771,0.584,0.535,0.787,0.569,-0.937,7.6,27.2,1.85e-07,2.11e-05,0.0965,"df1-WT","ATG8H",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2559","AT3G06530","Proliferation Domain_Atrichoblast",3.17,3.64,12.5,34.4,0.069,0.0571,0.158,0.209,0.0656,0.174,2.41,3.76,22.3,2.35e-06,0.000186,1,"df1-WT","AT3G06530",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2560","AT3G06680","Proliferation Domain_Atrichoblast",199,109,284,362,0.793,0.486,0.743,0.884,0.705,0.785,1.01,7.93,34.4,4.65e-09,8.23e-07,0.00243,"df1-WT","AT3G06680",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2561","AT3G07050","Proliferation Domain_Atrichoblast",13.7,20,38.7,54.8,0.23,0.171,0.267,0.372,0.213,0.299,1.47,5.01,19.6,9.43e-06,0.000603,1,"df1-WT","NSN1",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2562","AT3G07090","Proliferation Domain_Atrichoblast",265,153,131,95.5,0.701,0.714,0.584,0.488,0.705,0.556,-0.885,7.38,21.9,2.9e-06,0.000222,1,"df1-WT","AT3G07090",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2563","AT3G07350","Proliferation Domain_Atrichoblast",152,111,92.7,66.2,0.736,0.657,0.505,0.442,0.713,0.486,-0.725,6.77,11.6,0.000652,0.0173,1,"df1-WT","AT3G07350",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2564","AT3G07630","Proliferation Domain_Atrichoblast",11.1,7.27,26.7,21.6,0.218,0.0857,0.267,0.279,0.18,0.271,1.34,4.27,11.4,0.000745,0.0193,1,"df1-WT","ADT2",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2565","AT3G07750","Proliferation Domain_Atrichoblast",3.7,5.45,18.2,19.1,0.069,0.0857,0.178,0.209,0.0738,0.188,2.12,3.72,18.1,2.07e-05,0.0011,1,"df1-WT","AT3G07750",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2566","AT3G07770","Proliferation Domain_Atrichoblast",7.92,14.5,29,45.8,0.149,0.171,0.297,0.256,0.156,0.285,1.78,4.61,22.7,1.92e-06,0.000157,1,"df1-WT","HSP90-6",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2567","AT3G08730","Proliferation Domain_Atrichoblast",106,111,65.9,66.2,0.644,0.543,0.475,0.372,0.615,0.444,-0.705,6.46,9.71,0.00183,0.0384,1,"df1-WT","ATPK1",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2568","AT3G09480","Proliferation Domain_Atrichoblast",19.5,41.8,7.96,15.3,0.195,0.143,0.119,0.14,0.18,0.125,-1.36,4.29,12.7,0.000371,0.0113,1,"df1-WT","AT3G09480",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2569","AT3G09630","Proliferation Domain_Atrichoblast",251,302,378,451,0.885,0.6,0.772,0.837,0.803,0.792,0.586,8.43,14.5,0.000144,0.00533,1,"df1-WT","RPL4A",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2570","AT3G09720","Proliferation Domain_Atrichoblast",2.64,7.27,13.6,14,0.046,0.0857,0.168,0.14,0.0574,0.16,1.8,3.4,10.4,0.00125,0.0287,1,"df1-WT","RH57",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
"2571","AT3G10525","Proliferation Domain_Atrichoblast",161,142,87.5,75.1,0.644,0.457,0.317,0.372,0.59,0.333,-0.891,6.89,18.5,1.67e-05,0.000937,1,"df1-WT","SMR1",NA,NA,"Down","Proliferation Domain_Atrichoblast_Down"
"2572","AT3G10530","Proliferation Domain_Atrichoblast",5.28,3.64,15.3,17.8,0.115,0.0571,0.158,0.233,0.0984,0.181,1.71,3.62,11.8,0.000584,0.0159,1,"df1-WT","AT3G10530",NA,NA,"Up","Proliferation Domain_Atrichoblast_Up"
