"","gene","cluster_id","sc_111.cpm","sc_113.cpm","sc_112.cpm","sc_114.cpm","sc_111.frq","sc_113.frq","sc_112.frq","sc_114.frq","Control.frq","BRZ.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"8257","AT5G43650","Maturation_Atrichoblast",3.74,4.72,57.3,10.9,0.0385,0.0494,0.0879,0.138,0.0422,0.103,3.11,4.45,36.8,1.31e-09,5.13e-07,0.000724,"BRZ-Control","BHLH92","BHLH92","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","Up","Maturation_Atrichoblast_Up"
"8258","AT5G45940","Maturation_Atrichoblast",6.95,9.44,26.9,19.4,0.0705,0.0988,0.203,0.238,0.0802,0.214,1.57,4.12,12.7,0.000369,0.0206,1,"BRZ-Control","NUDT11",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8259","AT5G47980","Maturation_Atrichoblast",46.5,50.8,160,116,0.186,0.198,0.335,0.262,0.19,0.313,1.51,6.58,17.7,2.61e-05,0.00269,1,"BRZ-Control","BAHD1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8260","AT5G48110","Maturation_Atrichoblast",4.28,7.08,19.3,16,0.0513,0.0741,0.126,0.112,0.0591,0.122,1.74,3.72,13.2,0.000287,0.0171,1,"BRZ-Control","AT5G48110",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8261","AT5G48430","Maturation_Atrichoblast",13.4,18.9,1.75,2.53,0.128,0.111,0.0165,0.025,0.122,0.0191,-2.86,3.32,24.3,8.29e-07,0.000154,0.457,"BRZ-Control","AT5G48430",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8262","AT5G49460","Maturation_Atrichoblast",370,248,140,138,0.679,0.617,0.451,0.512,0.658,0.469,-1.13,7.82,10.5,0.00117,0.0489,1,"BRZ-Control","ACLB-2",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8263","AT5G49665","Maturation_Atrichoblast",21.9,17.7,6.43,4.21,0.199,0.148,0.0495,0.0625,0.181,0.0534,-1.87,3.81,16,6.38e-05,0.00535,1,"BRZ-Control","WAV3",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8264","AT5G51390","Maturation_Atrichoblast",35.3,20.1,97.6,42.1,0.282,0.111,0.28,0.225,0.224,0.263,1.3,5.68,12,0.00054,0.0275,1,"BRZ-Control","AT5G51390",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8265","AT5G51780","Maturation_Atrichoblast",49.7,34.2,151,76.6,0.269,0.235,0.39,0.412,0.257,0.397,1.41,6.33,15,0.000109,0.00828,1,"BRZ-Control","AT5G51780","AT5G51780","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","Up","Maturation_Atrichoblast_Up"
"8266","AT5G51830","Maturation_Atrichoblast",454,77.9,80.6,67.3,0.647,0.494,0.319,0.488,0.595,0.37,-1.44,7.44,14.5,0.000144,0.00994,1,"BRZ-Control","AT5G51830",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8267","AT5G52300","Maturation_Atrichoblast",8.55,8.26,52,88.4,0.0769,0.0494,0.198,0.338,0.0675,0.24,2.93,5.35,48.4,3.54e-12,2.22e-09,1.97e-06,"BRZ-Control","LTI65",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8268","AT5G53250","Maturation_Atrichoblast",321,366,196,114,0.795,0.901,0.555,0.7,0.831,0.599,-1.18,7.97,11.4,0.000753,0.0352,1,"BRZ-Control","AGP22",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8269","AT5G53370","Maturation_Atrichoblast",3.21,7.08,15.2,39.6,0.0321,0.0741,0.143,0.325,0.0464,0.198,2.34,4.12,24.2,8.68e-07,0.00016,0.478,"BRZ-Control","ATPMEPCRF",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8270","AT5G53460","Maturation_Atrichoblast",753,528,251,296,0.885,0.926,0.687,0.85,0.899,0.737,-1.21,8.84,11.9,0.000569,0.0286,1,"BRZ-Control","GLT1",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8271","AT5G54490","Maturation_Atrichoblast",79.7,80.3,832,309,0.269,0.247,0.374,0.375,0.262,0.374,2.69,8.36,50.3,1.34e-12,9e-10,7.45e-07,"BRZ-Control","PBP1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8272","AT5G54510","Maturation_Atrichoblast",78.6,50.8,244,258,0.385,0.284,0.423,0.625,0.35,0.485,1.97,7.32,29.7,5.04e-08,1.26e-05,0.0279,"BRZ-Control","GH3.6",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8273","AT5G54585","Maturation_Atrichoblast",18.7,10.6,91.1,82.5,0.115,0.0988,0.368,0.4,0.11,0.378,2.54,5.73,40.9,1.61e-10,7.56e-08,8.92e-05,"BRZ-Control","AT5G54585",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8274","AT5G55110","Maturation_Atrichoblast",72.2,43.7,19.9,29.5,0.154,0.247,0.0769,0.262,0.186,0.134,-1.26,5.43,11.1,0.000844,0.0382,1,"BRZ-Control","AT5G55110",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8275","AT5G55170","Maturation_Atrichoblast",6.42,11.8,18.1,34.5,0.0641,0.0988,0.137,0.25,0.0759,0.172,1.51,4.23,12.3,0.000456,0.0243,1,"BRZ-Control","SUMO3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8276","AT5G57010","Maturation_Atrichoblast",6.42,8.26,40.9,37.9,0.0577,0.0494,0.132,0.15,0.0549,0.137,2.46,4.65,31.7,1.86e-08,5.23e-06,0.0103,"BRZ-Control","IQM5",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8277","AT5G57655","Maturation_Atrichoblast",11.2,33.1,36.8,61.4,0.103,0.272,0.198,0.412,0.16,0.263,1.28,5.19,11.3,0.000781,0.0362,1,"BRZ-Control","XYLA",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8278","AT5G57785","Maturation_Atrichoblast",10.2,7.08,171,86.7,0.0513,0.0617,0.379,0.288,0.0549,0.351,3.9,6.16,79.7,4.68e-19,8e-16,2.61e-13,"BRZ-Control","AT5G57785",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8279","AT5G58430","Maturation_Atrichoblast",22.5,18.9,51.4,46.3,0.224,0.185,0.258,0.35,0.211,0.286,1.23,5.2,10.5,0.00117,0.0489,1,"BRZ-Control","EXO70B1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8280","AT5G59490","Maturation_Atrichoblast",28.3,41.3,62.5,130,0.224,0.235,0.302,0.525,0.228,0.37,1.39,6.06,14.6,0.000135,0.00946,1,"BRZ-Control","AT5G59490",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8281","AT5G59530","Maturation_Atrichoblast",26.2,20.1,10.5,6.73,0.224,0.123,0.0879,0.0625,0.19,0.0802,-1.41,4.12,10.7,0.00107,0.0453,1,"BRZ-Control","AT5G59530",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8282","AT5G60800","Maturation_Atrichoblast",115,83.8,18.1,21.9,0.308,0.321,0.143,0.212,0.312,0.164,-2.32,5.93,36.8,1.31e-09,5.13e-07,0.000726,"BRZ-Control","AT5G60800",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8283","AT5G62680","Maturation_Atrichoblast",4.28,4.72,11.1,20.2,0.0449,0.0494,0.0879,0.225,0.0464,0.13,1.67,3.51,10.9,0.000943,0.0415,1,"BRZ-Control","NPF2.11",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8284","AT5G62720","Maturation_Atrichoblast",18.7,23.6,69.5,48,0.135,0.0864,0.28,0.262,0.118,0.275,1.5,5.39,15.5,8.35e-05,0.00671,1,"BRZ-Control","AT5G62720",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8285","AT5G62880","Maturation_Atrichoblast",73.2,30.7,25.7,16,0.404,0.222,0.143,0.138,0.342,0.141,-1.28,5.28,11,0.000892,0.0399,1,"BRZ-Control","ARAC10",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8286","AT5G63450","Maturation_Atrichoblast",6.42,30.7,154,168,0.0449,0.148,0.335,0.6,0.0802,0.416,3.42,6.52,70.6,4.69e-17,6.79e-14,2.62e-11,"BRZ-Control","CYP94B1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8287","AT5G63590","Maturation_Atrichoblast",36.9,15.3,6.43,10.1,0.25,0.111,0.0549,0.0875,0.203,0.0649,-1.7,4.26,15,0.000105,0.00808,1,"BRZ-Control","FLS3",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8288","AT5G64410","Maturation_Atrichoblast",9.09,20.1,36.2,46.3,0.0897,0.136,0.236,0.45,0.105,0.302,1.6,4.87,16.1,6.07e-05,0.00519,1,"BRZ-Control","OPT4",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8289","AT5G64510","Maturation_Atrichoblast",21.9,16.5,7.59,4.21,0.205,0.136,0.0549,0.0625,0.181,0.0573,-1.67,3.82,13.2,0.000284,0.017,1,"BRZ-Control","TIN1",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8290","AT5G64570","Maturation_Atrichoblast",3.74,4.72,17.5,26.1,0.0321,0.0494,0.126,0.212,0.038,0.153,2.3,3.86,22.2,2.43e-06,0.000365,1,"BRZ-Control","BXL4",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8291","AT5G64905","Maturation_Atrichoblast",4.81,15.3,24.5,82.5,0.0449,0.148,0.121,0.175,0.0802,0.137,2.38,5.03,31.2,2.4e-08,6.27e-06,0.0133,"BRZ-Control","PEP3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8292","AT5G65040","Maturation_Atrichoblast",3.21,9.44,18.7,15.2,0.0321,0.0741,0.159,0.162,0.0464,0.16,1.64,3.7,11.7,0.000615,0.0302,1,"BRZ-Control","IRM1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8293","AT5G65280","Maturation_Atrichoblast",2.14,7.08,40.9,27.8,0.0256,0.0494,0.143,0.212,0.0338,0.164,3.15,4.42,41.5,1.23e-10,5.92e-08,6.82e-05,"BRZ-Control","GCL1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8294","AT5G65890","Maturation_Atrichoblast",13.4,37.8,4.09,9.26,0.135,0.16,0.0385,0.05,0.143,0.042,-1.87,4,17.2,3.29e-05,0.00319,1,"BRZ-Control","ACR1",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8295","AT5G65990","Maturation_Atrichoblast",255,200,85.9,107,0.494,0.481,0.324,0.412,0.489,0.351,-1.24,7.35,12.6,0.000388,0.0212,1,"BRZ-Control","AVT3A",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8296","AT5G66170","Maturation_Atrichoblast",265,410,841,1280,0.801,0.765,0.934,0.975,0.789,0.947,1.65,9.45,21.7,3.15e-06,0.000457,1,"BRZ-Control","STR18",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8297","AT5G67190","Maturation_Atrichoblast",163,55.5,52.6,33.7,0.558,0.346,0.253,0.275,0.485,0.26,-1.23,6.3,11.4,0.000741,0.0348,1,"BRZ-Control","ERF010","DEAR2","DREB and EAR motif protein 2","Down","Maturation_Atrichoblast_Down"
"8298","AT5G67390","Maturation_Atrichoblast",58.3,54.3,26.9,21,0.327,0.272,0.154,0.212,0.308,0.172,-1.23,5.37,10.9,0.000975,0.0424,1,"BRZ-Control","AT5G67390",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8299","AT5G67480","Maturation_Atrichoblast",125,99.2,42.6,43.8,0.494,0.481,0.203,0.4,0.489,0.263,-1.37,6.3,14.8,0.000122,0.00896,1,"BRZ-Control","BT4","BT4","BTB and TAZ domain protein 4","Down","Maturation_Atrichoblast_Down"
"8300","AT3G01830","Maturation_Atrichoblast",11.8,10.6,50.2,22.7,0.0962,0.111,0.176,0.175,0.101,0.176,1.72,4.7,16.8,4.19e-05,0.00381,1,"BRZ-Control","CML40",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8301","AT3G01970","Maturation_Atrichoblast",19.8,9.44,85.3,28.6,0.179,0.0864,0.319,0.262,0.148,0.302,1.93,5.27,22.4,2.24e-06,0.00034,1,"BRZ-Control","WRKY45","WRKY45","WRKY DNA-binding protein 45","Up","Maturation_Atrichoblast_Up"
"8302","AT3G02230","Maturation_Atrichoblast",929,260,264,178,0.833,0.914,0.736,0.862,0.861,0.775,-1.2,8.68,11.1,0.000859,0.0386,1,"BRZ-Control","RGP1",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8303","AT3G03280","Maturation_Atrichoblast",97.3,82.6,38.6,24.4,0.429,0.42,0.198,0.238,0.426,0.21,-1.52,5.96,17.4,2.98e-05,0.00297,1,"BRZ-Control","AT3G03280",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8304","AT3G03780","Maturation_Atrichoblast",9.09,20.1,53.7,19.4,0.0833,0.123,0.242,0.212,0.097,0.233,1.42,4.78,11.7,0.000634,0.0307,1,"BRZ-Control","MS2",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8305","AT3G04854","Maturation_Atrichoblast",54,16.5,8.76,7.58,0.308,0.148,0.0659,0.075,0.253,0.0687,-2.07,4.6,22.1,2.63e-06,0.000392,1,"BRZ-Control","AT3G04854",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8306","AT3G07255","Maturation_Atrichoblast",9.09,15.3,122,90.9,0.0769,0.0988,0.192,0.188,0.0844,0.191,3.2,5.94,59.8,1.13e-14,9.65e-12,6.28e-09,"BRZ-Control","AT3G07255",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8307","AT3G09220","Maturation_Atrichoblast",24.6,30.7,55.5,114,0.167,0.148,0.302,0.412,0.16,0.336,1.52,5.85,16.8,4.12e-05,0.00376,1,"BRZ-Control","LAC7",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8308","AT3G09390","Maturation_Atrichoblast",9.62,31.9,42.6,94.3,0.0833,0.247,0.192,0.625,0.139,0.324,1.83,5.5,22.5,2.14e-06,0.000327,1,"BRZ-Control","MT2A",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8309","AT3G10020","Maturation_Atrichoblast",446,254,903,641,0.455,0.543,0.544,0.738,0.485,0.603,1.17,9.14,11.2,0.000824,0.0374,1,"BRZ-Control","AT3G10020",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8310","AT3G10930","Maturation_Atrichoblast",21.4,24.8,141,75.8,0.128,0.136,0.28,0.325,0.131,0.294,2.23,6.09,33.5,7.23e-09,2.27e-06,0.004,"BRZ-Control","AT3G10930",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8311","AT3G11170","Maturation_Atrichoblast",5.35,5.9,16.4,19.4,0.0577,0.0617,0.0934,0.15,0.0591,0.111,1.64,3.73,12,0.000537,0.0274,1,"BRZ-Control","FAD7",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8312","AT3G11840","Maturation_Atrichoblast",9.09,5.9,29.2,16,0.103,0.0617,0.154,0.175,0.0886,0.16,1.59,4.1,12.8,0.000354,0.0199,1,"BRZ-Control","PUB24",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8313","AT3G11930","Maturation_Atrichoblast",71.1,88.5,43.2,26.9,0.256,0.21,0.209,0.238,0.241,0.218,-1.17,5.87,10.5,0.0012,0.0496,1,"BRZ-Control","AT3G11930",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8314","AT3G12710","Maturation_Atrichoblast",62.6,82.6,22.2,43.8,0.269,0.506,0.115,0.325,0.35,0.179,-1.2,5.73,10.9,0.000939,0.0414,1,"BRZ-Control","AT3G12710",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8315","AT3G13080","Maturation_Atrichoblast",31.5,16.5,7.01,7.58,0.231,0.111,0.0549,0.0875,0.19,0.0649,-1.74,4.13,15.4,8.67e-05,0.00691,1,"BRZ-Control","ABCC3",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8316","AT3G15518","Maturation_Atrichoblast",26.2,17.7,90,29.5,0.212,0.0988,0.198,0.15,0.173,0.183,1.37,5.44,12.4,0.000423,0.0229,1,"BRZ-Control","AT3G15518",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8317","AT3G16330","Maturation_Atrichoblast",20.9,88.5,22.2,5.89,0.0962,0.185,0.0275,0.0875,0.127,0.0458,-1.58,5.07,15,0.000107,0.0082,1,"BRZ-Control","AT3G16330",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8318","AT3G16400","Maturation_Atrichoblast",257,680,795,1170,0.673,0.741,0.764,0.812,0.696,0.779,1.2,9.5,11.6,0.000658,0.0315,1,"BRZ-Control","NSP1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8319","AT3G16440","Maturation_Atrichoblast",159,95.6,21.6,32.8,0.147,0.63,0.0769,0.4,0.312,0.176,-2.23,6.3,35.1,3.24e-09,1.07e-06,0.0018,"BRZ-Control","ATMLP-300B",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8320","AT3G16450","Maturation_Atrichoblast",43.3,129,370,459,0.212,0.481,0.582,0.638,0.304,0.599,2.46,7.98,44,3.3e-11,1.71e-08,1.83e-05,"BRZ-Control","JAL33",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8321","AT3G16470","Maturation_Atrichoblast",15,31.9,113,75.8,0.115,0.21,0.302,0.25,0.148,0.286,2.12,5.93,30.1,4.26e-08,1.08e-05,0.0236,"BRZ-Control","JAL35",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8322","AT3G16570","Maturation_Atrichoblast",16,8.26,40.9,22.7,0.115,0.0864,0.209,0.212,0.105,0.21,1.38,4.6,11.2,0.000821,0.0374,1,"BRZ-Control","RALF23",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8323","AT3G17185","Maturation_Atrichoblast",120,50.8,29.2,19.4,0.615,0.333,0.203,0.2,0.519,0.202,-1.76,5.84,21.6,3.35e-06,0.000482,1,"BRZ-Control","TASIR-ARF",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8324","AT3G17660","Maturation_Atrichoblast",29.4,7.08,2.92,1.68,0.212,0.0741,0.0275,0.025,0.165,0.0267,-2.97,3.66,27.8,1.37e-07,3.07e-05,0.0758,"BRZ-Control","AGD15",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8325","AT3G18830","Maturation_Atrichoblast",12.8,35.4,48.5,60.6,0.122,0.284,0.231,0.388,0.177,0.279,1.34,5.33,12.4,0.000423,0.0229,1,"BRZ-Control","PLT5",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8326","AT3G18950","Maturation_Atrichoblast",2.14,5.9,24.5,20.2,0.0256,0.0494,0.121,0.1,0.0338,0.115,2.68,3.89,28.2,1.09e-07,2.5e-05,0.0602,"BRZ-Control","AT3G18950",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8327","AT3G19450","Maturation_Atrichoblast",48.1,137,122,309,0.301,0.543,0.511,0.638,0.384,0.55,1.25,7.27,12.8,0.000352,0.0198,1,"BRZ-Control","CAD4",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8328","AT3G20370","Maturation_Atrichoblast",149,314,547,542,0.474,0.778,0.764,0.825,0.578,0.782,1.33,8.61,14.1,0.000176,0.0116,1,"BRZ-Control","AT3G20370",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8329","AT3G21180","Maturation_Atrichoblast",5.35,23.6,1.17,4.21,0.0641,0.173,0.011,0.05,0.101,0.0229,-2.35,3.11,14.6,0.000134,0.00946,1,"BRZ-Control","ACA9",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8330","AT3G21240","Maturation_Atrichoblast",3.74,4.72,17.5,18.5,0.0449,0.0494,0.0989,0.138,0.0464,0.111,2.1,3.67,17.7,2.62e-05,0.00269,1,"BRZ-Control","4CL2",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8331","AT3G21340","Maturation_Atrichoblast",128,56.7,26.9,20.2,0.455,0.333,0.148,0.212,0.414,0.168,-1.92,5.91,25.4,4.61e-07,9.23e-05,0.254,"BRZ-Control","AT3G21340",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8332","AT3G21510","Maturation_Atrichoblast",72.2,63.8,202,277,0.378,0.407,0.67,0.825,0.388,0.718,1.78,7.28,25,5.89e-07,0.000112,0.325,"BRZ-Control","AHP1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8333","AT3G25290","Maturation_Atrichoblast",112,73.2,16.9,37.9,0.288,0.346,0.0824,0.238,0.308,0.13,-1.84,5.94,23.7,1.16e-06,0.000204,0.64,"BRZ-Control","AT3G25290",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8334","AT3G26460","Maturation_Atrichoblast",2.14,3.54,93.5,22.7,0.0256,0.0247,0.198,0.1,0.0253,0.168,4.54,5.06,69.7,7.47e-17,9.41e-14,4.16e-11,"BRZ-Control","AT3G26460",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8335","AT3G27650","Maturation_Atrichoblast",19.2,7.08,52,16.8,0.128,0.0741,0.264,0.175,0.11,0.237,1.37,4.73,10.8,0.00101,0.0432,1,"BRZ-Control","LBD25","LBD25","LOB domain-containing protein 25","Up","Maturation_Atrichoblast_Up"
"8336","AT3G27884","Maturation_Atrichoblast",11.2,31.9,53.2,69.9,0.0962,0.21,0.258,0.3,0.135,0.271,1.67,5.41,19,1.29e-05,0.00148,1,"BRZ-Control","AT3G27884",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8337","AT3G28910","Maturation_Atrichoblast",149,29.5,25.7,5.89,0.494,0.21,0.126,0.0875,0.397,0.115,-2.46,5.81,35.2,3.07e-09,1.05e-06,0.0017,"BRZ-Control","MYB30","MYB30","myb domain protein 30","Down","Maturation_Atrichoblast_Down"
"8338","AT3G29000","Maturation_Atrichoblast",13.4,22.4,57.8,62.3,0.128,0.136,0.181,0.2,0.131,0.187,1.81,5.34,21.8,3.03e-06,0.000449,1,"BRZ-Control","CML45",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8339","AT3G06355","Maturation_Atrichoblast",133,228,48.5,96.8,0.673,0.765,0.297,0.675,0.705,0.412,-1.34,6.98,14.7,0.000127,0.00923,1,"BRZ-Control","AT3G06355",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8340","AT3G43670","Maturation_Atrichoblast",9.09,9.44,27.5,42.1,0.0897,0.0988,0.203,0.338,0.0928,0.244,1.83,4.56,18.9,1.39e-05,0.00158,1,"BRZ-Control","AT3G43670",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8341","AT3G44300","Maturation_Atrichoblast",32.6,41.3,122,111,0.282,0.284,0.577,0.562,0.283,0.573,1.68,6.3,21.3,3.92e-06,0.000535,1,"BRZ-Control","NIT2",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8342","AT3G44310","Maturation_Atrichoblast",327,178,1440,779,0.686,0.519,0.94,0.775,0.629,0.889,2.13,9.42,34.7,3.92e-09,1.27e-06,0.00217,"BRZ-Control","NIT1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8343","AT3G45070","Maturation_Atrichoblast",15,9.44,141,84.2,0.109,0.0741,0.286,0.288,0.097,0.286,3.2,6.03,60.1,9.29e-15,8.32e-12,5.17e-09,"BRZ-Control","AT3G45070",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8344","AT3G46170","Maturation_Atrichoblast",4.81,2.36,16.9,13.5,0.0385,0.0247,0.11,0.162,0.0338,0.126,1.99,3.49,14.7,0.000127,0.00923,1,"BRZ-Control","AT3G46170",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8345","AT3G46230","Maturation_Atrichoblast",57.7,26,121,89.2,0.205,0.185,0.236,0.25,0.198,0.24,1.37,6.25,14.2,0.000163,0.011,1,"BRZ-Control","HSP17.4A",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8346","AT3G46700","Maturation_Atrichoblast",30.5,69.7,133,232,0.244,0.309,0.401,0.512,0.266,0.435,1.93,6.88,28.5,9.26e-08,2.15e-05,0.0512,"BRZ-Control","UGT76E3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8347","AT3G47980","Maturation_Atrichoblast",15,13,2.34,5.89,0.128,0.111,0.022,0.0875,0.122,0.042,-1.88,3.37,12.8,0.000342,0.0195,1,"BRZ-Control","AT3G47980",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8348","AT3G48690","Maturation_Atrichoblast",32.1,24.8,78.9,82.5,0.263,0.173,0.434,0.5,0.232,0.454,1.49,5.82,16.3,5.57e-05,0.00478,1,"BRZ-Control","CXE12",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8349","AT3G48940","Maturation_Atrichoblast",28.3,67.3,11.1,30.3,0.25,0.321,0.0934,0.188,0.274,0.122,-1.24,5.09,10.5,0.00118,0.049,1,"BRZ-Control","AT3G48940",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8350","AT3G49570","Maturation_Atrichoblast",6.95,48.4,36.8,85.9,0.0833,0.185,0.176,0.262,0.118,0.202,1.49,5.48,14.9,0.000115,0.00861,1,"BRZ-Control","LSU3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8351","AT3G49580","Maturation_Atrichoblast",0,7.08,117,124,0,0.0123,0.159,0.125,0.00422,0.149,5.61,6,116,4.7e-27,1.77e-23,2.62e-21,"BRZ-Control","LSU1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8352","AT3G50660","Maturation_Atrichoblast",1.07,1.18,17.5,17.7,0.0128,0.0123,0.115,0.212,0.0127,0.145,3.89,3.46,36.3,1.75e-09,6.47e-07,0.000972,"BRZ-Control","CYP90B1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8353","AT3G51860","Maturation_Atrichoblast",0,1.18,21,24.4,0,0.0123,0.115,0.0875,0.00422,0.107,5.57,3.73,56.4,6.25e-14,4.7e-11,3.48e-08,"BRZ-Control","CAX3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8354","AT3G52290","Maturation_Atrichoblast",36.4,60.2,12.3,23.6,0.218,0.235,0.0769,0.138,0.224,0.0954,-1.45,5.06,14.4,0.00015,0.0103,1,"BRZ-Control","IQD3",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8355","AT3G54580","Maturation_Atrichoblast",12.3,698,10.5,119,0.0769,0.58,0.0714,0.538,0.249,0.214,-1.73,7.68,17.2,3.34e-05,0.0032,1,"BRZ-Control","AT3G54580",NA,NA,"Down","Maturation_Atrichoblast_Down"
"8356","AT3G55290","Maturation_Atrichoblast",6.95,3.54,26.9,14.3,0.0641,0.037,0.165,0.188,0.0549,0.172,1.95,3.91,17.1,3.64e-05,0.00342,1,"BRZ-Control","AT3G55290",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8357","AT3G55840","Maturation_Atrichoblast",23.5,16.5,65.4,75.8,0.199,0.148,0.214,0.325,0.181,0.248,1.78,5.56,21.8,3.11e-06,0.000457,1,"BRZ-Control","HSPRO1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"8358","AT3G55980","Maturation_Atrichoblast",17.1,33.1,97,69,0.16,0.259,0.225,0.275,0.194,0.24,1.82,5.8,22.8,1.83e-06,0.000284,1,"BRZ-Control","SZF1","SZF1","salt-inducible zinc finger 1","Up","Maturation_Atrichoblast_Up"
"8359","AT3G56760","Maturation_Atrichoblast",27.8,22.4,7.01,13.5,0.231,0.16,0.0604,0.162,0.207,0.0916,-1.39,4.25,10.8,0.001,0.043,1,"BRZ-Control","CRK7",NA,NA,"Down","Maturation_Atrichoblast_Down"
