GeneID,Name,Description
AT5G65080,MAF5,K-box region/MADS-box transcription factor family protein
AT5G65130,AT5G65130,Integrase-type DNA-binding superfamily protein
AT5G65210,TGA1,bZIP transcription factor family protein
AT5G65310,HB5,homeobox protein 5
AT5G65330,AGL78,AGAMOUS-like 78
AT5G65510,AIL7,AINTEGUMENTA-like 7
AT5G65590,AT5G65590,Dof-type zinc finger DNA-binding family protein
AT5G65790,MYB68,myb domain protein 68
AT5G66300,NAC105,NAC domain containing protein 105
AT5G66320,GATA5,GATA transcription factor 5
AT5G66700,HB53,homeobox 53
AT5G66940,AT5G66940,Dof-type zinc finger DNA-binding family protein
AT5G67000,AT5G67000,Integrase-type DNA-binding superfamily protein
AT5G67060,HEC1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G67190,DEAR2,DREB and EAR motif protein 2
AT1G01160,GIF2,GRF1-interacting factor 2
AT1G01350,AT1G01350,Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01640,AT1G01640,BTB/POZ domain-containing protein
AT1G01780,PLIM2b,GATA type zinc finger transcription factor family protein
AT1G01920,AT1G01920,SET domain-containing protein
AT1G02080,AT1G02080,transcription regulator
AT1G02170,MC1,metacaspase 1
AT1G02210,AT1G02210,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G02580,MEA,SET domain-containing protein
AT1G02670,AT1G02670,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G03150,AT1G03150,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03350,AT1G03350,BSD domain-containing protein
AT1G03650,AT1G03650,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03750,SWI2,switch 2
AT1G03790,SOM,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G04050,SUVR1,histone-lysine N-methyltransferase SUVR2-like protein
AT1G04100,IAA10,indoleacetic acid-induced protein 10
AT1G04240,SHY2,AUX/IAA transcriptional regulator family protein
AT1G04250,AXR3,AUX/IAA transcriptional regulator family protein
AT1G04360,AT1G04360,RING/U-box superfamily protein
AT1G04390,AT1G04390,BTB/POZ domain-containing protein
AT1G04445,AT1G04445,C2H2-like zinc finger protein
AT1G04500,AT1G04500,CCT motif family protein
AT1G04550,IAA12,AUX/IAA transcriptional regulator family protein
AT1G04850,AT1G04850,ubiquitin-associated (UBA)/TS-N domain-containing protein
AT1G04880,AT1G04880,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein
AT1G04950,TAFII59,TATA BOX ASSOCIATED FACTOR II 59
AT1G04990,AT1G04990,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G05120,AT1G05120,Helicase protein with RING/U-box domain-containing protein
AT1G05290,AT1G05290,CCT motif family protein
AT1G05380,AT1G05380,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein
AT1G05420,OFP12,ovate family protein 12
AT1G05490,chr31,chromatin remodeling 31
AT1G05710,AT1G05710,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G05830,ATX2,trithorax-like protein 2
AT1G05920,AT1G05920,B3 domain protein (DUF313)
AT1G05930,AT1G05930,B3 domain protein (DUF313)
AT1G06040,STO,B-box zinc finger family protein
AT1G06280,LBD2,LOB domain-containing protein 2
AT1G06910,TRFL7,TRF-like 7
AT1G06920,OFP4,ovate family protein 4
AT1G07050,AT1G07050,CCT motif family protein
AT1G07360,MAC5A,CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein
AT1G07540,TRFL2,TRF-like 2
AT1G07900,LBD1,LOB domain-containing protein 1
AT1G07980,NF-YC10,"nuclear factor Y, subunit C10"
AT1G08540,SIG2,RNApolymerase sigma subunit 2
AT1G08600,ATRX,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G08780,AIP3,ABI3-interacting protein 3
AT1G08880,H2AXA,Histone superfamily protein
AT1G08910,AT1G08910,zinc ion binding protein
AT1G09060,AT1G09060,JmjC domain protein JMJ24
AT1G09250,AT1G09250,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G09710,AT1G09710,Homeodomain-like superfamily protein
AT1G10170,NFXL1,NF-X-like 1
AT1G10200,WLIM1,GATA type zinc finger transcription factor family protein
AT1G10240,FRS11,FAR1-related sequence 11
AT1G10320,AT1G10320,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G10450,SNL6,paired amphipathic helix Sin3-like protein
AT1G10470,ARR4,response regulator 4
AT1G10586,AT1G10586,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G10720,AT1G10720,BSD domain-containing protein
AT1G11100,AT1G11100,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
AT1G11490,AT1G11490,zinc finger (C2H2 type) family protein
AT1G11510,AT1G11510,DNA-binding storekeeper protein-related transcriptional regulator
AT1G11950,AT1G11950,Transcription factor jumonji (jmjC) domain-containing protein
AT1G12440,AT1G12440,A20/AN1-like zinc finger family protein
AT1G13290,DOT5,C2H2-like zinc finger protein
AT1G13400,NUB,C2H2 and C2HC zinc fingers superfamily protein
AT1G13450,GT-1,Homeodomain-like superfamily protein
AT1G14030,LSMT-L,Rubisco methyltransferase family protein
AT1G14200,AT1G14200,RING/U-box superfamily protein
AT1G14440,HB31,homeobox protein 31
AT1G14510,AL7,alfin-like 7
AT1G14685,BPC2,basic pentacysteine 2
AT1G14687,HB32,homeobox protein 32
AT1G14900,HMGA,high mobility group A
AT1G15340,MBD10,methyl-CPG-binding domain 10
AT1G15580,IAA5,indole-3-acetic acid inducible 5
AT1G15720,TRFL5,TRF-like 5
AT1G16530,ASL9,ASYMMETRIC LEAVES 2-like 9
AT1G17460,TRFL3,TRF-like 3
AT1G17520,AT1G17520,Homeodomain-like/winged-helix DNA-binding family protein
AT1G18335,AT1G18335,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G18560,AT1G18560,BED zinc finger and hAT dimerization domain-containing protein
AT1G18760,AT1G18760,"Zinc finger, C3HC4 type (RING finger) family protein"
AT1G18780,AT1G18780,RING/U-box superfamily protein
AT1G18790,RKD1,RWP-RK domain-containing protein
AT1G18835,MIF3,mini zinc finger
AT1G18960,AT1G18960,myb-like HTH transcriptional regulator family protein
AT1G19040,AT1G19040,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G19050,ARR7,response regulator 7
AT1G19270,DA1,DA1
AT1G19350,BES1,Brassinosteroid signaling positive regulator (BZR1) family protein
AT1G19510,RL5,RAD-like 5
AT1G19790,SRS7,SHI-related sequence 7
AT1G19860,AT1G19860,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G20640,AT1G20640,Plant regulator RWP-RK family protein
AT1G20910,AT1G20910,ARID/BRIGHT DNA-binding domain-containing protein
AT1G21000,AT1G21000,PLATZ transcription factor family protein
AT1G21150,AT1G21150,Mitochondrial transcription termination factor family protein
AT1G21200,AT1G21200,sequence-specific DNA binding transcription factor
AT1G21580,AT1G21580,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G21700,SWI3C,SWITCH/sucrose nonfermenting 3C
AT1G21780,AT1G21780,BTB/POZ domain-containing protein
AT1G21960,AT1G21960,RING/U-box superfamily protein
AT1G22310,MBD8,methyl-CPG-binding domain 8
AT1G22640,MYB3,myb domain protein 3
AT1G23810,AT1G23810,Paired amphipathic helix (PAH2) superfamily protein
AT1G24040,AT1G24040,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G24190,SNL3,SIN3-like 3
AT1G24200,AT1G24200,Paired amphipathic helix (PAH2) superfamily protein
AT1G24210,AT1G24210,Paired amphipathic helix (PAH2) superfamily protein
AT1G24220,AT1G24220,paired amphipathic helix repeat-containing protein
AT1G24230,AT1G24230,Paired amphipathic helix (PAH2) superfamily protein
AT1G24250,AT1G24250,Paired amphipathic helix (PAH2) superfamily protein
AT1G24580,AT1G24580,RING/U-box superfamily protein
AT1G24610,AT1G24610,Rubisco methyltransferase family protein
AT1G25310,MEE8,basic helix-loop-helix (bHLH) DNA-binding family protein
AT1G26220,AT1G26220,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G26300,AT1G26300,BSD domain-containing protein
AT1G26945,KDR,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G27220,AT1G27220,paired amphipathic helix repeat-containing protein
AT1G27240,AT1G27240,Paired amphipathic helix (PAH2) superfamily protein
AT1G27250,AT1G27250,Paired amphipathic helix (PAH2) superfamily protein
AT1G27260,AT1G27260,Paired amphipathic helix (PAH2) superfamily protein
AT1G27270,AT1G27270,Paired amphipathic helix (PAH2) superfamily protein
AT1G27280,AT1G27280,Paired amphipathic helix (PAH2) superfamily protein
AT1G27320,HK3,histidine kinase 3
AT1G27650,ATU2AF35A,U2 snRNP auxiliary factor small subunit
AT1G27660,AT1G27660,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G28520,VOZ1,vascular plant one zinc finger protein
AT1G29560,AT1G29560,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G29570,AT1G29570,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G29600,AT1G29600,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G29950,AT1G29950,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G29960,AT1G29960,Peptidase S24/S26A/S26B/S26C family protein
AT1G29962,AGL64,AGAMOUS-like 64
AT1G30460,CPSF30,cleavage and polyadenylation specificity factor 30
AT1G31040,AT1G31040,PLATZ transcription factor family protein
AT1G31320,LBD4,LOB domain-containing protein 4
AT1G31760,AT1G31760,SWIB/MDM2 domain superfamily protein
AT1G32070,NSI,nuclear shuttle interacting
AT1G32130,IWS1,Transcription elongation factor (TFIIS) family protein
AT1G32360,AT1G32360,Zinc finger (CCCH-type) family protein
AT1G32540,LOL1,lsd one like 1
AT1G32700,AT1G32700,PLATZ transcription factor family protein
AT1G32810,AT1G32810,RING/FYVE/PHD zinc finger superfamily protein
AT1G33070,AT1G33070,MADS-box family protein
AT1G33240,GTL1,GT-2-like 1
AT1G33420,AT1G33420,RING/FYVE/PHD zinc finger superfamily protein
AT1G34355,PS1,forkhead-associated (FHA) domain-containing protein
AT1G34670,MYB93,myb domain protein 93
AT1G35490,AT1G35490,bZIP family transcription factor
AT1G35515,HOS10,high response to osmotic stress 10
AT1G35516,AT1G35516,myb-like transcription factor family protein
AT1G35520,ARF15,auxin response factor 15
AT1G35890,AT1G35890,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G36000,LBD5,LOB domain-containing protein 5
AT1G43000,AT1G43000,PLATZ transcription factor family protein
AT1G43770,AT1G43770,RING/FYVE/PHD zinc finger superfamily protein
AT1G44810,AT1G44810,DNA-binding storekeeper protein-related transcriptional regulator
AT1G47570,AT1G47570,RING/U-box superfamily protein
AT1G47650,AT1G47650,transposable_element_gene
AT1G48040,AT1G48040,Protein phosphatase 2C family protein
AT1G48195,AT1G48195,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G48310,CHR18,chromatin remodeling factor18
AT1G49520,AT1G49520,SWIB complex BAF60b domain-containing protein
AT1G49830,AT1G49830,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G49950,TRB1,telomere repeat binding factor 1
AT1G50410,AT1G50410,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
AT1G50620,AT1G50620,RING/FYVE/PHD zinc finger superfamily protein
AT1G51060,HTA10,histone H2A 10
AT1G51200,AT1G51200,A20/AN1-like zinc finger family protein
AT1G51950,IAA18,indole-3-acetic acid inducible 18
AT1G51970,AT1G51970,B3 domain protein
AT1G52520,FRS6,FAR1-related sequence 6
AT1G52830,IAA6,indole-3-acetic acid 6
AT1G54060,ASIL1,6B-interacting protein 1-like 1
AT1G54140,TAFII21,TATA binding protein associated factor 21kDa subunit
AT1G54360,TAF6B,TBP-ASSOCIATED FACTOR 6B
AT1G54390,ING2,PHD finger protein-like protein
AT1G54690,GAMMA-H2AX,gamma histone variant H2AX
AT1G54760,AGL85,AGAMOUS-like 85
AT1G54930,AT1G54930,GRF zinc finger / Zinc knuckle protein
AT1G55520,TBP2,TATA binding protein 2
AT1G55650,AT1G55650,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein
AT1G55750,AT1G55750,"BSD domain (BTF2-like transcription factors, Synapse-associated proteins and DOS2-like proteins)"
AT1G55760,AT1G55760,BTB/POZ domain-containing protein
AT1G55950,AT1G55950,DNA-binding storekeeper protein-related transcriptional regulator
AT1G56380,AT1G56380,Mitochondrial transcription termination factor family protein
AT1G57557,,
AT1G58110,AT1G58110,Basic-leucine zipper (bZIP) transcription factor family protein
AT1G58210,EMB1674,EMBRYO DEFECTIVE protein
AT1G58220,AT1G58220,Homeodomain-like superfamily protein
AT1G59890,SNL5,SIN3-like 5
AT1G59940,ARR3,response regulator 3
AT1G60240,AT1G60240,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G60250,BBX26,B-box zinc finger family protein
AT1G60360,AT1G60360,RING/U-box superfamily protein
AT1G60700,AT1G60700,SMAD/FHA domain-containing protein
AT1G61140,EDA16,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
AT1G61660,AT1G61660,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G61730,AT1G61730,DNA-binding storekeeper protein-related transcriptional regulator
AT1G61940,TLP4,tubby like protein 4
AT1G61960,AT1G61960,Mitochondrial transcription termination factor family protein
AT1G61970,AT1G61970,Mitochondrial transcription termination factor family protein
AT1G61980,AT1G61980,Mitochondrial transcription termination factor family protein
AT1G61990,AT1G61990,Mitochondrial transcription termination factor family protein
AT1G62010,AT1G62010,Mitochondrial transcription termination factor family protein
AT1G62085,AT1G62085,Mitochondrial transcription termination factor family protein
AT1G62110,AT1G62110,Mitochondrial transcription termination factor family protein
AT1G62120,AT1G62120,Mitochondrial transcription termination factor family protein
AT1G62150,AT1G62150,Mitochondrial transcription termination factor family protein
AT1G62310,AT1G62310,transcription factor jumonji (jmjC) domain-containing protein
AT1G62490,AT1G62490,Mitochondrial transcription termination factor family protein
AT1G62830,LDL1,LSD1-like 1
AT1G63040,AT1G63040,pseudogene of Integrase-type DNA-binding superfamily protein
AT1G63100,AT1G63100,GRAS family transcription factor
AT1G63170,AT1G63170,"Zinc finger, C3HC4 type (RING finger) family protein"
AT1G63820,AT1G63820,CCT motif family protein
AT1G63840,AT1G63840,RING/U-box superfamily protein
AT1G64100,AT1G64100,pentatricopeptide (PPR) repeat-containing protein
AT1G64280,NPR1,regulatory protein (NPR1)
AT1G64530,AT1G64530,Plant regulator RWP-RK family protein
AT1G64625,AT1G64625,Serine/threonine-protein kinase WNK (With No Lysine)-like protein
AT1G64860,SIGA,sigma factor A
AT1G65620,AS2,Lateral organ boundaries (LOB) domain family protein
AT1G66170,MMD1,RING/FYVE/PHD zinc finger superfamily protein
AT1G66340,ETR1,"Signal transduction histidine kinase, hybrid-type, ethylene sensor"
AT1G66420,AT1G66420,DNA-binding storekeeper protein-related transcriptional regulator
AT1G66810,AT1G66810,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G67030,ZFP6,zinc finger protein 6
AT1G67100,LBD40,LOB domain-containing protein 40
AT1G67180,AT1G67180,zinc finger (C3HC4-type RING finger) family protein / BRCT domain-containing protein
AT1G67370,ASY1,DNA-binding HORMA family protein
AT1G68030,AT1G68030,RING/FYVE/PHD zinc finger superfamily protein
AT1G68070,AT1G68070,"Zinc finger, C3HC4 type (RING finger) family protein"
AT1G68120,BPC3,BASIC PENTACYSTEINE protein
AT1G68190,BBX27,B-box zinc finger family protein
AT1G68200,AT1G68200,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G68360,AT1G68360,C2H2 and C2HC zinc fingers superfamily protein
AT1G68480,JAG,C2H2 and C2HC zinc fingers superfamily protein
AT1G68510,LBD42,LOB domain-containing protein 42
AT1G69030,AT1G69030,BSD domain-containing protein
AT1G69600,ZFHD1,zinc finger homeodomain 1
AT1G70030,AT1G70030,Paired amphipathic helix (PAH2) superfamily protein
AT1G70060,SNL4,SIN3-like 4
AT1G71260,ATWHY2,WHIRLY 2
AT1G72030,AT1G72030,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G72310,ATL3,RING/U-box superfamily protein
AT1G72650,TRFL6,TRF-like 6
AT1G72740,AT1G72740,Homeodomain-like/winged-helix DNA-binding family protein
AT1G72980,LBD7,LOB domain-containing protein 7
AT1G74120,AT1G74120,Mitochondrial transcription termination factor family protein
AT1G74250,AT1G74250,DNAJ heat shock N-terminal domain-containing protein
AT1G74410,AT1G74410,RING/U-box superfamily protein
AT1G74480,RKD2,RWP-RK domain-containing protein
AT1G74620,AT1G74620,RING/U-box superfamily protein
AT1G74660,MIF1,mini zinc finger 1
AT1G74890,ARR15,response regulator 15
AT1G75080,BZR1,Brassinosteroid signaling positive regulator (BZR1) family protein
AT1G75240,HB33,homeobox protein 33
AT1G75250,RL6,RAD-like 6
AT1G75340,AT1G75340,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G75510,AT1G75510,"Transcription initiation factor IIF, beta subunit"
AT1G75530,AT1G75530,Forkhead-associated (FHA) domain-containing protein
AT1G75540,BBX21,salt tolerance homolog2
AT1G76110,AT1G76110,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein
AT1G76320,FRS4,FAR1-related sequence 4
AT1G76350,AT1G76350,Plant regulator RWP-RK family protein
AT1G76510,AT1G76510,ARID/BRIGHT DNA-binding domain-containing protein
AT1G76580,AT1G76580,Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein
AT1G76590,AT1G76590,PLATZ transcription factor family protein
AT1G76710,ASHH1,SET domain group 26
AT1G76870,AT1G76870,transcription factor
AT1G76880,AT1G76880,Duplicated homeodomain-like superfamily protein
AT1G76890,GT2,Duplicated homeodomain-like superfamily protein
AT1G77250,AT1G77250,RING/FYVE/PHD-type zinc finger family protein
AT1G77300,EFS,histone-lysine N-methyltransferase
AT1G77800,AT1G77800,PHD finger family protein
AT1G78280,AT1G78280,"transferases, transferring glycosyl groups"
AT1G78600,LZF1,light-regulated zinc finger protein 1
AT1G78700,BEH4,BES1/BZR1 homolog 4
AT1G78930,AT1G78930,Mitochondrial transcription termination factor family protein
AT1G79220,AT1G79220,Mitochondrial transcription termination factor family protein
AT1G79350,EMB1135,RING/FYVE/PHD zinc finger superfamily protein
AT1G79960,OFP14,ovate family protein 14
AT1G80010,FRS8,FAR1-related sequence 8
AT1G80400,AT1G80400,RING/U-box superfamily protein
AT2G01150,RHA2B,RING-H2 finger protein 2B
AT2G01370,AT2G01370,DNA-binding storekeeper protein-related transcriptional regulator
AT2G01650,PUX2,plant UBX domain-containing protein 2
AT2G01810,AT2G01810,RING/FYVE/PHD zinc finger superfamily protein
AT2G01818,AT2G01818,PLATZ transcription factor family protein
AT2G01830,WOL,CHASE domain containing histidine kinase protein
AT2G01930,BPC1,basic pentacysteine1
AT2G02090,ETL1,SNF2 domain-containing protein / helicase domain-containing protein
AT2G02160,AT2G02160,CCCH-type zinc finger family protein
AT2G02470,AL6,alfin-like 6
AT2G02540,HB21,homeobox protein 21
AT2G02825,,
AT2G03050,EMB93,Mitochondrial transcription termination factor family protein
AT2G03470,AT2G03470,ELM2 domain-containing protein
AT2G04240,XERICO,RING/U-box superfamily protein
AT2G04740,AT2G04740,ankyrin repeat family protein
AT2G04845,AT2G04845,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G05160,AT2G05160,CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein
AT2G05330,AT2G05330,BTB/POZ domain-containing protein
AT2G05900,SDG11,SET domain protein 11
AT2G06025,AT2G06025,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G06200,GRF6,growth-regulating factor 6
AT2G10950,AT2G10950,BSD domain-containing protein
AT2G11990,AGL88,pseudogene of AGAMOUS-like 57
AT2G12646,AT2G12646,PLATZ transcription factor family protein
AT2G13370,CHR5,chromatin remodeling 5
AT2G13960,AT2G13960,Homeodomain-like superfamily protein
AT2G14880,AT2G14880,SWIB/MDM2 domain superfamily protein
AT2G15660,AGL95,AGAMOUS-like 95
AT2G16390,DRD1,SNF2 domain-containing protein / helicase domain-containing protein
AT2G17150,AT2G17150,Plant regulator RWP-RK family protein
AT2G17410,AT2G17410,ARID/BRIGHT DNA-binding domain-containing protein
AT2G17600,AT2G17600,Cysteine/Histidine-rich C1 domain family protein
AT2G17770,BZIP27,basic region/leucine zipper motif 27
AT2G17820,HK1,histidine kinase 1
AT2G17900,SDG37,SET domain group 37
AT2G18090,AT2G18090,PHD finger family protein / SWIB complex BAF60b domain-containing protein / GYF domain-containing protein
AT2G18328,RL4,RAD-like 4
AT2G18350,HB24,homeobox protein 24
AT2G18500,OFP7,ovate family protein 7
AT2G18670,AT2G18670,RING/U-box superfamily protein
AT2G18760,CHR8,chromatin remodeling 8
AT2G18850,AT2G18850,SET domain-containing protein
AT2G19260,AT2G19260,RING/FYVE/PHD zinc finger superfamily protein
AT2G19380,AT2G19380,RNA recognition motif (RRM)-containing protein
AT2G19510,LBD8,LOB domain-containing protein 8
AT2G19520,FVE,Transducin family protein / WD-40 repeat family protein
AT2G19810,OZF1,CCCH-type zinc finger family protein
AT2G19820,LBD9,LOB domain-containing protein 9
AT2G20030,AT2G20030,RING/U-box superfamily protein
AT2G20100,AT2G20100,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G20110,AT2G20110,Tesmin/TSO1-like CXC domain-containing protein
AT2G20280,AT2G20280,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT2G20825,ULT2,"Developmental regulator, ULTRAPETALA"
AT2G21240,BPC4,basic pentacysteine 4
AT2G21320,BBX18,B-box zinc finger family protein
AT2G21450,CHR34,chromatin remodeling 34
AT2G21530,AT2G21530,SMAD/FHA domain-containing protein
AT2G21650,MEE3,Homeodomain-like superfamily protein
AT2G21710,EMB2219,Mitochondrial transcription termination factor family protein
AT2G22670,IAA8,indoleacetic acid-induced protein 8
AT2G22740,SUVH6,SU(VAR)3-9 homolog 6
AT2G22840,GRF1,growth-regulating factor 1
AT2G22910,NAGS1,N-acetyl-l-glutamate synthase 1
AT2G23060,AT2G23060,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G23660,LBD10,LOB domain-containing protein 10
AT2G23740,SUVR5,histone-lysine N-methyltransferase SUVR5
AT2G23780,AT2G23780,RING/U-box superfamily protein
AT2G24500,FZF,Zinc finger protein 622
AT2G24590,RSZ22a,RNA recognition motif and CCHC-type zinc finger domains containing protein
AT2G24740,SDG21,SET domain group 21
AT2G24830,AT2G24830,zinc finger (CCCH-type) family protein / D111/G-patch domain-containing protein
AT2G25170,PKL,chromatin remodeling factor CHD3 (PICKLE)
AT2G25230,MYB100,myb domain protein 100
AT2G25620,DBP1,DNA-binding protein phosphatase 1
AT2G25650,AT2G25650,DNA-binding storekeeper protein-related transcriptional regulator
AT2G25900,ATCTH,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT2G26350,PEX10,peroxin 10
AT2G27110,FRS3,FAR1-related sequence 3
AT2G27230,LHW,transcription factor-like protein
AT2G27470,NF-YB11,"nuclear factor Y, subunit B11"
AT2G27580,AT2G27580,A20/AN1-like zinc finger family protein
AT2G27630,AT2G27630,Ubiquitin carboxyl-terminal hydrolase-related protein
AT2G27760,IPT2,tRNAisopentenyltransferase 2
AT2G27930,AT2G27930,PLATZ transcription factor family protein
AT2G28290,SYD,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT2G28450,AT2G28450,zinc finger (CCCH-type) family protein
AT2G28500,LBD11,LOB domain-containing protein 11
AT2G28910,CXIP4,CAX interacting protein 4
AT2G28920,AT2G28920,RING/U-box superfamily protein
AT2G29580,MAC5B,CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein
AT2G30090,AT2G30090,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G30130,ASL5,Lateral organ boundaries (LOB) domain family protein
AT2G30340,LBD13,LOB domain-containing protein 13
AT2G30400,OFP2,ovate family protein 2
AT2G30424,TCL2,Homeodomain-like superfamily protein
AT2G30580,DRIP2,DREB2A-interacting protein 2
AT2G31280,CPUORF7,transcription factor bHLH155-like protein
AT2G31310,LBD14,LOB domain-containing protein 14
AT2G31380,STH,salt tolerance homologue
AT2G31460,AT2G31460,"B3 domain protein, putative (DUF313)"
AT2G31650,ATX1,homologue of trithorax
AT2G31720,AT2G31720,B3 domain protein (DUF313)
AT2G31730,AT2G31730,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G32020,AT2G32020,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G32030,AT2G32030,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G32100,OFP16,ovate family protein 16
AT2G32250,FRS2,FAR1-related sequence 2
AT2G32310,AT2G32310,CCT motif family protein
AT2G32550,AT2G32550,"Cell differentiation, Rcd1-like protein"
AT2G32600,AT2G32600,hydroxyproline-rich glycoprotein family protein
AT2G32700,LUH,LEUNIG-like protein
AT2G32905,AT2G32905,"B3 domain protein, putative (DUF313)"
AT2G32930,ZFN2,zinc finger nuclease 2
AT2G32950,COP1,Transducin/WD40 repeat-like superfamily protein
AT2G33310,IAA13,auxin-induced protein 13
AT2G33350,AT2G33350,CCT motif family protein
AT2G33550,AT2G33550,Homeodomain-like superfamily protein
AT2G33610,SWI3B,switch subunit 3
AT2G33720,AT2G33720,AP2/B3-like transcriptional factor family protein
AT2G33835,FES1,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT2G33890,AT2G33890,tRNA-Pro
AT2G34450,AT2G34450,HMG-box (high mobility group) DNA-binding family protein
AT2G34620,AT2G34620,Mitochondrial transcription termination factor family protein
AT2G35000,ATL9,RING/U-box superfamily protein
AT2G35430,AT2G35430,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT2G35550,BPC7,basic pentacysteine 7
AT2G35605,AT2G35605,SWIB/MDM2 domain superfamily protein
AT2G35670,FIS2,VEFS-Box of polycomb protein
AT2G35910,AT2G35910,RING/U-box superfamily protein
AT2G36000,EMB3114,Mitochondrial transcription termination factor family protein
AT2G36026,AT2G36026,Ovate family protein
AT2G36050,OFP15,ovate family protein 15
AT2G36340,AT2G36340,DNA-binding storekeeper protein-related transcriptional regulator
AT2G36400,GRF3,growth-regulating factor 3
AT2G36480,AT2G36480,pre-mRNA cleavage complex 2 Pcf11-like protein
AT2G36720,AT2G36720,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain-containing protein
AT2G36740,SWC2,DNA binding protein SWC2
AT2G36930,AT2G36930,zinc finger (C2H2 type) family protein
AT2G36990,SIGF,RNApolymerase sigma-subunit F
AT2G37060,NF-YB8,"nuclear factor Y, subunit B8"
AT2G37520,AT2G37520,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain-containing protein
AT2G38130,ATMAK3,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G38250,AT2G38250,Homeodomain-like superfamily protein
AT2G39000,AT2G39000,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G39020,AT2G39020,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G39030,NATA1,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G39720,RHC2A,RING-H2 finger C2A
AT2G39830,DAR2,DA1-related protein 2
AT2G39900,WLIM2a,GATA type zinc finger transcription factor family protein
AT2G40140,CZF1,zinc finger (CCCH-type) family protein
AT2G40440,AT2G40440,BTB/POZ domain protein
AT2G40450,AT2G40450,BTB/POZ domain-containing protein
AT2G40470,LBD15,LOB domain-containing protein 15
AT2G40670,RR16,response regulator 16
